RuleUrn,InflectionClasses,Ending,Gender,Case,Number
nouninfl.os_ou1m,os_ou,os,masc,nom,sg
nouninfl.os_ou2m,os_ou,ou,masc,gen,sg
nouninfl.os_ou3m,os_ou,w|,masc,dat,sg
nouninfl.os_ou4m,os_ou,on,masc,acc,sg
nouninfl.os_ou5m,os_ou,e,masc,voc,sg

nouninfl.os_ou6m,os_ou,oi,masc,nom,pl
nouninfl.os_ou7m,os_ou,wn,masc,gen,pl
nouninfl.os_ou8m,os_ou,ois,masc,dat,pl
nouninfl.os_ou9m,os_ou,ous,masc,acc,pl
nouninfl.os_ou10m,os_ou,oi,masc,voc,pl

nouninfl.os_ou11m,os_ou,w,masc,nom,dual
nouninfl.os_ou12m,os_ou,oin,masc,gen,dual
nouninfl.os_ou13m,os_ou,oin,masc,dat,dual
nouninfl.os_ou14m,os_ou,w,masc,acc,dual
nouninfl.os_ou15m,os_ou,w,masc,voc,dual



nouninfl.os_ou1f,os_ou,os,fem,nom,sg
nouninfl.os_ou2f,os_ou,ou,fem,gen,sg
nouninfl.os_ou3f,os_ou,w|,fem,dat,sg
nouninfl.os_ou4f,os_ou,on,fem,acc,sg
nouninfl.os_ou5f,os_ou,e,fem,voc,sg

nouninfl.os_ou6f,os_ou,oi,fem,nom,pl
nouninfl.os_ou7f,os_ou,wn,fem,gen,pl
nouninfl.os_ou8f,os_ou,ois,fem,dat,pl
nouninfl.os_ou9f,os_ou,ous,fem,acc,pl
nouninfl.os_ou10f,os_ou,oi,fem,voc,pl

nouninfl.os_ou11f,os_ou,w,fem,nom,dual
nouninfl.os_ou12f,os_ou,oin,fem,gen,dual
nouninfl.os_ou13f,os_ou,oin,fem,dat,dual
nouninfl.os_ou14f,os_ou,w,fem,acc,dual
nouninfl.os_ou15f,os_ou,w,fem,voc,dual




nouninfl.os_ou1n,os_ou,on,neut,nom,sg
nouninfl.os_ou2n,os_ou,ou,neut,gen,sg
nouninfl.os_ou3n,os_ou,w|,neut,dat,sg
nouninfl.os_ou4n,os_ou,on,neut,acc,sg
nouninfl.os_ou5n,os_ou,on,neut,voc,sg

nouninfl.os_ou6n,os_ou,a,neut,nom,pl
nouninfl.os_ou7n,os_ou,wn,neut,gen,pl
nouninfl.os_ou8n,os_ou,ois,neut,dat,pl
nouninfl.os_ou9n,os_ou,a,neut,acc,pl
nouninfl.os_ou10n,os_ou,a,neut,voc,pl

nouninfl.os_ou11n,os_ou,w,neut,nom,dual
nouninfl.os_ou12n,os_ou,oin,neut,gen,dual
nouninfl.os_ou13n,os_ou,oin,neut,dat,dual
nouninfl.os_ou14n,os_ou,w,neut,acc,dual
nouninfl.os_ou15n,os_ou,w,neut,voc,dual
