RuleUrn,InflectionClasses,Ending,Gender,Case,Number
nouninfl.s_nos1m,s_nos,s,masc,nom,sg
nouninfl.s_nos2m,s_nos,nos,masc,gen,sg
nouninfl.s_nos3m,s_nos,ni,masc,dat,sg
nouninfl.s_nos4m,s_nos,na,masc,acc,sg
nouninfl.s_nos5m,s_nos,s,masc,voc,sg

nouninfl.s_nos6m,s_nos,nes,masc,nom,pl
nouninfl.s_nos7m,s_nos,nwn,masc,gen,pl
nouninfl.s_nos8m,s_nos,isi,masc,dat,pl
nouninfl.s_nos8mn,s_nos,isin,masc,dat,pl
nouninfl.s_nos9m,s_nos,nas,masc,acc,pl
nouninfl.s_nos10m,s_nos,nes,masc,voc,pl

nouninfl.s_nos11m,s_nos,ne,masc,nom,dual
nouninfl.s_nos12m,s_nos,noin,masc,gen,dual
nouninfl.s_nos13m,s_nos,noin,masc,dat,dual
nouninfl.s_nos14m,s_nos,ne,masc,acc,dual
nouninfl.s_nos15m,s_nos,ne,masc,voc,dual

nouninfl.us_ews1m,us_ews,us,masc,nom,sg
nouninfl.us_ews2m,us_ews,ews,masc,gen,sg
nouninfl.us_ews3m,us_ews,ei,masc,dat,sg
nouninfl.us_ews4m,us_ews,un,masc,acc,sg
nouninfl.us_ews5m,us_ews,u,masc,voc,sg

nouninfl.us_ews6m,us_ews,eis,masc,nom,pl
nouninfl.us_ews7m,us_ews,ewn,masc,gen,pl
nouninfl.us_ews8m,us_ews,esi,masc,dat,pl
nouninfl.us_ews8fn,us_ews,esin,masc,dat,pl
nouninfl.us_ews9m,us_ews,eis,masc,acc,pl
nouninfl.us_ews10m,us_ews,eis,masc,voc,pl


nouninfl.us_ews11m,us_ews,ei,masc,nom,dual
nouninfl.us_ews12m,us_ews,eoin,masc,gen,dual
nouninfl.us_ews13m,us_ews,eoin,masc,dat,dual
nouninfl.us_ews14m,us_ews,ei,masc,acc,dual
nouninfl.us_ews15m,us_ews,ei,masc,voc,dual

nouninfl.wn_onos1m,wn_onos,wn,masc,nom,sg
nouninfl.wn_onos2m,wn_onos,onos,masc,gen,sg
nouninfl.wn_onos3m,wn_onos,oni,masc,dat,sg
nouninfl.wn_onos4m,wn_onos,ona,masc,acc,sg
nouninfl.wn_onos5m,wn_onos,wn,masc,voc,sg

nouninfl.wn_onos6m,wn_onos,ones,masc,nom,pl
nouninfl.wn_onos7m,wn_onos,onwn,masc,gen,pl
nouninfl.wn_onos8m,wn_onos,osi,masc,dat,pl
nouninfl.wn_onos8mn,wn_onos,ocin,masc,dat,pl
nouninfl.wn_onos9m,wn_onos,onas,masc,acc,pl
nouninfl.wn_onos10m,wn_onos,ones,masc,voc,pl

nouninfl.wn_onos11m,wn_onos,one,masc,nom,dual
nouninfl.wn_onos12m,wn_onos,onoin,masc,gen,dual
nouninfl.wn_onos13m,wn_onos,onoin,masc,dat,dual
nouninfl.wn_onos14m,wn_onos,one,masc,acc,dual
nouninfl.wn_onos15m,wn_onos,one,masc,voc,dual



nouninfl.wn_ontos1m,wn_ontos,wn,masc,nom,sg
nouninfl.wn_ontos2m,wn_ontos,ontos,masc,gen,sg
nouninfl.wn_ontos3m,wn_ontos,onti,masc,dat,sg
nouninfl.wn_ontos4m,wn_ontos,onta,masc,acc,sg
nouninfl.wn_ontos5m,wn_ontos,on,masc,voc,sg

nouninfl.wn_ontos6m,wn_ontos,ontes,masc,nom,pl
nouninfl.wn_ontos7m,wn_ontos,ontwn,masc,gen,pl
nouninfl.wn_ontos8m,wn_ontos,ousi,masc,dat,pl
nouninfl.wn_ontos8mn,wn_ontos,ousin,masc,dat,pl
nouninfl.wn_ontos9m,wn_ontos,ontas,masc,acc,pl
nouninfl.wn_ontos10m,wn_ontos,ontes,masc,voc,pl

nouninfl.wn_ontos11m,wn_ontos,onte,masc,nom,dual
nouninfl.wn_ontos12m,wn_ontos,ontoin,masc,gen,dual
nouninfl.wn_ontos13m,wn_ontos,ontoin,masc,dat,dual
nouninfl.wn_ontos14m,wn_ontos,onte,masc,acc,dual
nouninfl.wn_ontos15m,wn_ontos,onte,masc,voc,dual






nouninfl.y_pos1m,y_pos,y,masc,nom,sg
nouninfl.y_pos2m,y_pos,pos,masc,gen,sg
nouninfl.y_pos3m,y_pos,pi,masc,dat,sg
nouninfl.y_pos4m,y_pos,pa,masc,acc,sg
nouninfl.y_pos5m,y_pos,y,masc,voc,sg

nouninfl.y_pos6m,y_pos,pes,masc,nom,pl
nouninfl.y_pos7m,y_pos,pwn,masc,gen,pl
nouninfl.y_pos8m,y_pos,yi,masc,dat,pl
nouninfl.y_pos8mn,y_pos,yin,masc,dat,pl
nouninfl.y_pos9m,y_pos,pas,masc,acc,pl
nouninfl.y_pos10m,y_pos,pes,masc,voc,pl

nouninfl.y_pos11m,y_pos,pe,masc,nom,dual
nouninfl.y_pos12m,y_pos,poin,masc,gen,dual
nouninfl.y_pos13m,y_pos,poin,masc,dat,dual
nouninfl.y_pos14m,y_pos,pe,masc,acc,dual
nouninfl.y_pos15m,y_pos,pe,masc,voc,dual
