RuleUrn,InflectionClass,Ending,Tense,Voice
verbinfl.ow_infin1,ow_contract,ou=n,pres,act
verbinfl.ow_infin2,ow_contract,ou=sqai,pres,mid
verbinfl.ow_infin3,ow_contract,ou=sqai,pres,pass


verbinfl.ow_infin4,ow_contract,ein,fut,act
verbinfl.ow_infin5,ow_contract,esqai,fut,mid
verbinfl.ow_infin6,ow_contract,hsesqai,fut,pass

verbinfl.ow_infin7,ow_contract,ai,aor,act
verbinfl.ow_infin8,ow_contract,asqai,aor,mid
verbinfl.ow_infin9,ow_contract,h=nai,aor,pass


verbinfl.ow_infin10,ow_contract,e/nai,pft,act
verbinfl.ow_infin11,ow_contract,sqai,pft,mid
verbinfl.ow_infin12,ow_contract,sqai,pft,pass
