RuleUrn,InflectionClass,Ending,Gender,Case,Number,VAdj
verbinfl.teos_1,w_regular,te/os,masc,nom,sg,vadj1
verbinfl.teos_2,w_regular,te/ou,masc,gen,sg,vadj1
verbinfl.teos_3,w_regular,te/w|,masc,dat,sg,vadj1
verbinfl.teos_4,w_regular,te/on,masc,acc,sg,vadj1
verbinfl.teos_5,w_regular,te/e,masc,voc,sg,vadj1

verbinfl.teos_6,w_regular,te/w,masc,nom,dual,vadj1
verbinfl.teos_7,w_regular,te/oin,masc,gen,dual,vadj1
verbinfl.teos_8,w_regular,te/oin,masc,dat,dual,vadj1
verbinfl.teos_9,w_regular,te/oin,masc,acc,dual,vadj1
verbinfl.teos_10,w_regular,te/w,masc,voc,dual,vadj1

verbinfl.teos_11,w_regular,te/oi,masc,nom,pl,vadj1
verbinfl.teos_12,w_regular,te/wn,masc,gen,pl,vadj1
verbinfl.teos_13,w_regular,te/ois,masc,dat,pl,vadj1
verbinfl.teos_14,w_regular,te/ous,masc,acc,pl,vadj1
verbinfl.teos_15,w_regular,te/oi,masc,voc,pl,vadj1


verbinfl.teos_16,w_regular,te/on,neut,nom,sg,vadj1
verbinfl.teos_17,w_regular,te/ou,neut,gen,sg,vadj1
verbinfl.teos_18,w_regular,te/w|,neut,dat,sg,vadj1
verbinfl.teos_19,w_regular,te/on,neut,acc,sg,vadj1
verbinfl.teos_20,w_regular,te/on,neut,voc,sg,vadj1

verbinfl.teos_21,w_regular,te/w,neut,nom,dual,vadj1
verbinfl.teos_22,w_regular,te/oin,neut,gen,dual,vadj1
verbinfl.teos_23,w_regular,te/oin,neut,dat,dual,vadj1
verbinfl.teos_24,w_regular,te/oin,neut,acc,dual,vadj1
verbinfl.teos_25,w_regular,te/w,neut,voc,dual,vadj1

verbinfl.teos_26,w_regular,te/a,neut,nom,pl,vadj1
verbinfl.teos_27,w_regular,te/wn,neut,gen,pl,vadj1
verbinfl.teos_28,w_regular,te/ois,neut,dat,pl,vadj1
verbinfl.teos_29,w_regular,te/a,neut,acc,pl,vadj1
verbinfl.teos_30,w_regular,te/a,neut,voc,pl,vadj1


verbinfl.teos_31,w_regular,te/a,fem,nom,sg,vadj1
verbinfl.teos_32,w_regular,te/as,fem,gen,sg,vadj1
verbinfl.teos_33,w_regular,te/a|,fem,dat,sg,vadj1
verbinfl.teos_34,w_regular,te/an,fem,acc,sg,vadj1
verbinfl.teos_35,w_regular,te/a,fem,voc,sg,vadj1

verbinfl.teos_36,w_regular,te/a,fem,nom,dual,vadj1
verbinfl.teos_37,w_regular,te/ain,fem,gen,dual,vadj1
verbinfl.teos_38,w_regular,te/ain,fem,dat,dual,vadj1
verbinfl.teos_39,w_regular,te/ain,fem,acc,dual,vadj1
verbinfl.teos_40,w_regular,te/a,fem,voc,dual,vadj1

verbinfl.teos_41,w_regular,te/ai,fem,nom,pl,vadj1
verbinfl.teos_42,w_regular,te/wn,fem,gen,pl,vadj1
verbinfl.teos_43,w_regular,te/ais,fem,dat,pl,vadj1
verbinfl.teos_44,w_regular,te/as,fem,acc,pl,vadj1
verbinfl.teos_45,w_regular,te/ai,fem,voc,pl,vadj1
