RuleUrn,InflectionClass,Ending,Gender,Case,Number,VAdj
verbinfl.w_pp6_teos_1,vadj,te/os,masc,nom,sg,vadj1
verbinfl.w_pp6_teos_2,vadj,te/ou,masc,gen,sg,vadj1
verbinfl.w_pp6_teos_3,vadj,te/w|,masc,dat,sg,vadj1
verbinfl.w_pp6_teos_4,vadj,te/on,masc,acc,sg,vadj1
verbinfl.w_pp6_teos_5,vadj,te/e,masc,voc,sg,vadj1

verbinfl.w_pp6_teos_6,vadj,te/w,masc,nom,dual,vadj1
verbinfl.w_pp6_teos_7,vadj,te/oin,masc,gen,dual,vadj1
verbinfl.w_pp6_teos_8,vadj,te/oin,masc,dat,dual,vadj1
verbinfl.w_pp6_teos_9,vadj,te/oin,masc,acc,dual,vadj1
verbinfl.w_pp6_teos_10,vadj,te/w,masc,voc,dual,vadj1

verbinfl.w_pp6_teos_11,vadj,te/oi,masc,nom,pl,vadj1
verbinfl.w_pp6_teos_12,vadj,te/wn,masc,gen,pl,vadj1
verbinfl.w_pp6_teos_13,vadj,te/ois,masc,dat,pl,vadj1
verbinfl.w_pp6_teos_14,vadj,te/ous,masc,acc,pl,vadj1
verbinfl.w_pp6_teos_15,vadj,te/oi,masc,voc,pl,vadj1


verbinfl.w_pp6_teos_16,vadj,te/on,neut,nom,sg,vadj1
verbinfl.w_pp6_teos_17,vadj,te/ou,neut,gen,sg,vadj1
verbinfl.w_pp6_teos_18,vadj,te/w|,neut,dat,sg,vadj1
verbinfl.w_pp6_teos_19,vadj,te/on,neut,acc,sg,vadj1
verbinfl.w_pp6_teos_20,vadj,te/on,neut,voc,sg,vadj1

verbinfl.w_pp6_teos_21,vadj,te/w,neut,nom,dual,vadj1
verbinfl.w_pp6_teos_22,vadj,te/oin,neut,gen,dual,vadj1
verbinfl.w_pp6_teos_23,vadj,te/oin,neut,dat,dual,vadj1
verbinfl.w_pp6_teos_24,vadj,te/oin,neut,acc,dual,vadj1
verbinfl.w_pp6_teos_25,vadj,te/w,neut,voc,dual,vadj1

verbinfl.w_pp6_teos_26,vadj,te/a,neut,nom,pl,vadj1
verbinfl.w_pp6_teos_27,vadj,te/wn,neut,gen,pl,vadj1
verbinfl.w_pp6_teos_28,vadj,te/ois,neut,dat,pl,vadj1
verbinfl.w_pp6_teos_29,vadj,te/a,neut,acc,pl,vadj1
verbinfl.w_pp6_teos_30,vadj,te/a,neut,voc,pl,vadj1


verbinfl.w_pp6_teos_31,vadj,te/a,fem,nom,sg,vadj1
verbinfl.w_pp6_teos_32,vadj,te/as,fem,gen,sg,vadj1
verbinfl.w_pp6_teos_33,vadj,te/a|,fem,dat,sg,vadj1
verbinfl.w_pp6_teos_34,vadj,te/an,fem,acc,sg,vadj1
verbinfl.w_pp6_teos_35,vadj,te/a,fem,voc,sg,vadj1

verbinfl.w_pp6_teos_36,vadj,te/a,fem,nom,dual,vadj1
verbinfl.w_pp6_teos_37,vadj,te/ain,fem,gen,dual,vadj1
verbinfl.w_pp6_teos_38,vadj,te/ain,fem,dat,dual,vadj1
verbinfl.w_pp6_teos_39,vadj,te/ain,fem,acc,dual,vadj1
verbinfl.w_pp6_teos_40,vadj,te/a,fem,voc,dual,vadj1

verbinfl.w_pp6_teos_41,vadj,te/ai,fem,nom,pl,vadj1
verbinfl.w_pp6_teos_42,vadj,te/wn,fem,gen,pl,vadj1
verbinfl.w_pp6_teos_43,vadj,te/ais,fem,dat,pl,vadj1
verbinfl.w_pp6_teos_44,vadj,te/as,fem,acc,pl,vadj1
verbinfl.w_pp6_teos_45,vadj,te/ai,fem,voc,pl,vadj1
