Urn,AnalyticalClass,Label
urn:cite:morph:form.cv01011,conjverb,conjugated verb: 1st dual present subjunctive middle
urn:cite:morph:form.cv01012,conjverb,conjugated verb: 1st dual present subjunctive passive
urn:cite:morph:form.cv01020,conjverb,conjugated verb: 1st dual present optative active
urn:cite:morph:form.cv01021,conjverb,conjugated verb: 1st dual present optative middle
urn:cite:morph:form.cv01022,conjverb,conjugated verb: 1st dual present optative passive
urn:cite:morph:form.cv01030,conjverb,conjugated verb: 1st dual present imperative active
urn:cite:morph:form.cv01031,conjverb,conjugated verb: 1st dual present imperative middle
urn:cite:morph:form.cv01032,conjverb,conjugated verb: 1st dual present imperative passive
urn:cite:morph:form.cv01100,conjverb,conjugated verb: 1st dual imperfect indicative active
urn:cite:morph:form.cv01101,conjverb,conjugated verb: 1st dual imperfect indicative middle
urn:cite:morph:form.cv01102,conjverb,conjugated verb: 1st dual imperfect indicative passive
urn:cite:morph:form.cv01110,conjverb,conjugated verb: 1st dual imperfect subjunctive active
urn:cite:morph:form.cv01111,conjverb,conjugated verb: 1st dual imperfect subjunctive middle
urn:cite:morph:form.cv01112,conjverb,conjugated verb: 1st dual imperfect subjunctive passive
urn:cite:morph:form.cv01120,conjverb,conjugated verb: 1st dual imperfect optative active
urn:cite:morph:form.cv01121,conjverb,conjugated verb: 1st dual imperfect optative middle
urn:cite:morph:form.cv01122,conjverb,conjugated verb: 1st dual imperfect optative passive
urn:cite:morph:form.cv01130,conjverb,conjugated verb: 1st dual imperfect imperative active
urn:cite:morph:form.cv01131,conjverb,conjugated verb: 1st dual imperfect imperative middle
urn:cite:morph:form.cv01132,conjverb,conjugated verb: 1st dual imperfect imperative passive
urn:cite:morph:form.cv01200,conjverb,conjugated verb: 1st dual future indicative active
urn:cite:morph:form.cv01201,conjverb,conjugated verb: 1st dual future indicative middle
urn:cite:morph:form.cv01202,conjverb,conjugated verb: 1st dual future indicative passive
urn:cite:morph:form.cv01210,conjverb,conjugated verb: 1st dual future subjunctive active
urn:cite:morph:form.cv01211,conjverb,conjugated verb: 1st dual future subjunctive middle
urn:cite:morph:form.cv01212,conjverb,conjugated verb: 1st dual future subjunctive passive
urn:cite:morph:form.cv01220,conjverb,conjugated verb: 1st dual future optative active
urn:cite:morph:form.cv01221,conjverb,conjugated verb: 1st dual future optative middle
urn:cite:morph:form.cv01222,conjverb,conjugated verb: 1st dual future optative passive
urn:cite:morph:form.cv01230,conjverb,conjugated verb: 1st dual future imperative active
urn:cite:morph:form.cv01231,conjverb,conjugated verb: 1st dual future imperative middle
urn:cite:morph:form.cv01232,conjverb,conjugated verb: 1st dual future imperative passive
urn:cite:morph:form.cv01300,conjverb,conjugated verb: 1st dual aorist indicative active
urn:cite:morph:form.cv01301,conjverb,conjugated verb: 1st dual aorist indicative middle
urn:cite:morph:form.cv01302,conjverb,conjugated verb: 1st dual aorist indicative passive
urn:cite:morph:form.cv01310,conjverb,conjugated verb: 1st dual aorist subjunctive active
urn:cite:morph:form.cv01311,conjverb,conjugated verb: 1st dual aorist subjunctive middle
urn:cite:morph:form.cv01312,conjverb,conjugated verb: 1st dual aorist subjunctive passive
urn:cite:morph:form.cv01320,conjverb,conjugated verb: 1st dual aorist optative active
urn:cite:morph:form.cv01321,conjverb,conjugated verb: 1st dual aorist optative middle
urn:cite:morph:form.cv01322,conjverb,conjugated verb: 1st dual aorist optative passive
urn:cite:morph:form.cv01330,conjverb,conjugated verb: 1st dual aorist imperative active
urn:cite:morph:form.cv01331,conjverb,conjugated verb: 1st dual aorist imperative middle
urn:cite:morph:form.cv01332,conjverb,conjugated verb: 1st dual aorist imperative passive
urn:cite:morph:form.cv01400,conjverb,conjugated verb: 1st dual perfect indicative active
urn:cite:morph:form.cv01401,conjverb,conjugated verb: 1st dual perfect indicative middle
urn:cite:morph:form.cv01402,conjverb,conjugated verb: 1st dual perfect indicative passive
urn:cite:morph:form.cv01410,conjverb,conjugated verb: 1st dual perfect subjunctive active
urn:cite:morph:form.cv01411,conjverb,conjugated verb: 1st dual perfect subjunctive middle
urn:cite:morph:form.cv01412,conjverb,conjugated verb: 1st dual perfect subjunctive passive
urn:cite:morph:form.cv01420,conjverb,conjugated verb: 1st dual perfect optative active
urn:cite:morph:form.cv01421,conjverb,conjugated verb: 1st dual perfect optative middle
urn:cite:morph:form.cv01422,conjverb,conjugated verb: 1st dual perfect optative passive
urn:cite:morph:form.cv01430,conjverb,conjugated verb: 1st dual perfect imperative active
urn:cite:morph:form.cv01431,conjverb,conjugated verb: 1st dual perfect imperative middle
urn:cite:morph:form.cv01432,conjverb,conjugated verb: 1st dual perfect imperative passive
urn:cite:morph:form.cv01500,conjverb,conjugated verb: 1st dual pluperfect indicative active
urn:cite:morph:form.cv01501,conjverb,conjugated verb: 1st dual pluperfect indicative middle
urn:cite:morph:form.cv01502,conjverb,conjugated verb: 1st dual pluperfect indicative passive
urn:cite:morph:form.cv01510,conjverb,conjugated verb: 1st dual pluperfect subjunctive active
urn:cite:morph:form.cv01511,conjverb,conjugated verb: 1st dual pluperfect subjunctive middle
urn:cite:morph:form.cv01512,conjverb,conjugated verb: 1st dual pluperfect subjunctive passive
urn:cite:morph:form.cv01520,conjverb,conjugated verb: 1st dual pluperfect optative active
urn:cite:morph:form.cv01521,conjverb,conjugated verb: 1st dual pluperfect optative middle
urn:cite:morph:form.cv01522,conjverb,conjugated verb: 1st dual pluperfect optative passive
urn:cite:morph:form.cv01530,conjverb,conjugated verb: 1st dual pluperfect imperative active
urn:cite:morph:form.cv01531,conjverb,conjugated verb: 1st dual pluperfect imperative middle
urn:cite:morph:form.cv01532,conjverb,conjugated verb: 1st dual pluperfect imperative passive
urn:cite:morph:form.cv02000,conjverb,conjugated verb: 1st plural present indicative active
urn:cite:morph:form.cv02001,conjverb,conjugated verb: 1st plural present indicative middle
urn:cite:morph:form.cv02002,conjverb,conjugated verb: 1st plural present indicative passive
urn:cite:morph:form.cv02010,conjverb,conjugated verb: 1st plural present subjunctive active
urn:cite:morph:form.cv02011,conjverb,conjugated verb: 1st plural present subjunctive middle
urn:cite:morph:form.cv02012,conjverb,conjugated verb: 1st plural present subjunctive passive
urn:cite:morph:form.cv02020,conjverb,conjugated verb: 1st plural present optative active
urn:cite:morph:form.cv02021,conjverb,conjugated verb: 1st plural present optative middle
urn:cite:morph:form.cv02022,conjverb,conjugated verb: 1st plural present optative passive
urn:cite:morph:form.cv02030,conjverb,conjugated verb: 1st plural present imperative active
urn:cite:morph:form.cv02031,conjverb,conjugated verb: 1st plural present imperative middle
urn:cite:morph:form.cv02032,conjverb,conjugated verb: 1st plural present imperative passive
urn:cite:morph:form.cv02100,conjverb,conjugated verb: 1st plural imperfect indicative active
urn:cite:morph:form.cv02101,conjverb,conjugated verb: 1st plural imperfect indicative middle
urn:cite:morph:form.cv02102,conjverb,conjugated verb: 1st plural imperfect indicative passive
urn:cite:morph:form.cv02110,conjverb,conjugated verb: 1st plural imperfect subjunctive active
urn:cite:morph:form.cv02111,conjverb,conjugated verb: 1st plural imperfect subjunctive middle
urn:cite:morph:form.cv02112,conjverb,conjugated verb: 1st plural imperfect subjunctive passive
urn:cite:morph:form.cv02120,conjverb,conjugated verb: 1st plural imperfect optative active
urn:cite:morph:form.cv02121,conjverb,conjugated verb: 1st plural imperfect optative middle
urn:cite:morph:form.cv02122,conjverb,conjugated verb: 1st plural imperfect optative passive
urn:cite:morph:form.cv02130,conjverb,conjugated verb: 1st plural imperfect imperative active
urn:cite:morph:form.cv02131,conjverb,conjugated verb: 1st plural imperfect imperative middle
urn:cite:morph:form.cv02132,conjverb,conjugated verb: 1st plural imperfect imperative passive
urn:cite:morph:form.cv02200,conjverb,conjugated verb: 1st plural future indicative active
urn:cite:morph:form.cv02201,conjverb,conjugated verb: 1st plural future indicative middle
urn:cite:morph:form.cv02202,conjverb,conjugated verb: 1st plural future indicative passive
urn:cite:morph:form.cv02210,conjverb,conjugated verb: 1st plural future subjunctive active
urn:cite:morph:form.cv02211,conjverb,conjugated verb: 1st plural future subjunctive middle
urn:cite:morph:form.cv02212,conjverb,conjugated verb: 1st plural future subjunctive passive
urn:cite:morph:form.cv02220,conjverb,conjugated verb: 1st plural future optative active
urn:cite:morph:form.cv02221,conjverb,conjugated verb: 1st plural future optative middle
urn:cite:morph:form.cv02222,conjverb,conjugated verb: 1st plural future optative passive
urn:cite:morph:form.cv02230,conjverb,conjugated verb: 1st plural future imperative active
urn:cite:morph:form.cv02231,conjverb,conjugated verb: 1st plural future imperative middle
urn:cite:morph:form.cv02232,conjverb,conjugated verb: 1st plural future imperative passive
urn:cite:morph:form.cv02300,conjverb,conjugated verb: 1st plural aorist indicative active
urn:cite:morph:form.cv02301,conjverb,conjugated verb: 1st plural aorist indicative middle
urn:cite:morph:form.cv02302,conjverb,conjugated verb: 1st plural aorist indicative passive
urn:cite:morph:form.cv02310,conjverb,conjugated verb: 1st plural aorist subjunctive active
urn:cite:morph:form.cv02311,conjverb,conjugated verb: 1st plural aorist subjunctive middle
urn:cite:morph:form.cv02312,conjverb,conjugated verb: 1st plural aorist subjunctive passive
urn:cite:morph:form.cv02320,conjverb,conjugated verb: 1st plural aorist optative active
urn:cite:morph:form.cv02321,conjverb,conjugated verb: 1st plural aorist optative middle
urn:cite:morph:form.cv02322,conjverb,conjugated verb: 1st plural aorist optative passive
