Urn,Gender,Case,Number,Tense,Voice
urn:cite:morph:form.pc22022,neuter,dative,singular,future,passive
urn:cite:morph:form.pc22030,neuter,dative,singular,aorist,active
urn:cite:morph:form.pc22031,neuter,dative,singular,aorist,middle
urn:cite:morph:form.pc22032,neuter,dative,singular,aorist,passive
urn:cite:morph:form.pc22040,neuter,dative,singular,perfect,active
urn:cite:morph:form.pc22041,neuter,dative,singular,perfect,middle
urn:cite:morph:form.pc22042,neuter,dative,singular,perfect,passive
urn:cite:morph:form.pc22100,neuter,dative,dual,present,active
urn:cite:morph:form.pc22101,neuter,dative,dual,present,middle
urn:cite:morph:form.pc22102,neuter,dative,dual,present,passive
urn:cite:morph:form.pc22120,neuter,dative,dual,future,active
urn:cite:morph:form.pc22121,neuter,dative,dual,future,middle
urn:cite:morph:form.pc22122,neuter,dative,dual,future,passive
urn:cite:morph:form.pc22130,neuter,dative,dual,aorist,active
urn:cite:morph:form.pc22131,neuter,dative,dual,aorist,middle
urn:cite:morph:form.pc22132,neuter,dative,dual,aorist,passive
urn:cite:morph:form.pc22140,neuter,dative,dual,perfect,active
urn:cite:morph:form.pc22141,neuter,dative,dual,perfect,middle
urn:cite:morph:form.pc22142,neuter,dative,dual,perfect,passive
urn:cite:morph:form.pc22200,neuter,dative,plural,present,active
urn:cite:morph:form.pc22201,neuter,dative,plural,present,middle
urn:cite:morph:form.pc22202,neuter,dative,plural,present,passive
urn:cite:morph:form.pc22220,neuter,dative,plural,future,active
urn:cite:morph:form.pc22221,neuter,dative,plural,future,middle
urn:cite:morph:form.pc22222,neuter,dative,plural,future,passive
urn:cite:morph:form.pc22230,neuter,dative,plural,aorist,active
urn:cite:morph:form.pc22231,neuter,dative,plural,aorist,middle
urn:cite:morph:form.pc22232,neuter,dative,plural,aorist,passive
urn:cite:morph:form.pc22240,neuter,dative,plural,perfect,active
urn:cite:morph:form.pc22241,neuter,dative,plural,perfect,middle
urn:cite:morph:form.pc22242,neuter,dative,plural,perfect,passive
urn:cite:morph:form.pc23000,neuter,accusative,singular,present,active
urn:cite:morph:form.pc23001,neuter,accusative,singular,present,middle
urn:cite:morph:form.pc23002,neuter,accusative,singular,present,passive
urn:cite:morph:form.pc23020,neuter,accusative,singular,future,active
urn:cite:morph:form.pc23021,neuter,accusative,singular,future,middle
urn:cite:morph:form.pc23022,neuter,accusative,singular,future,passive
urn:cite:morph:form.pc23030,neuter,accusative,singular,aorist,active
urn:cite:morph:form.pc23031,neuter,accusative,singular,aorist,middle
urn:cite:morph:form.pc23032,neuter,accusative,singular,aorist,passive
urn:cite:morph:form.pc23040,neuter,accusative,singular,perfect,active
urn:cite:morph:form.pc23041,neuter,accusative,singular,perfect,middle
urn:cite:morph:form.pc23042,neuter,accusative,singular,perfect,passive
urn:cite:morph:form.pc23100,neuter,accusative,dual,present,active
urn:cite:morph:form.pc23101,neuter,accusative,dual,present,middle
urn:cite:morph:form.pc23102,neuter,accusative,dual,present,passive
urn:cite:morph:form.pc23120,neuter,accusative,dual,future,active
urn:cite:morph:form.pc23121,neuter,accusative,dual,future,middle
urn:cite:morph:form.pc23122,neuter,accusative,dual,future,passive
urn:cite:morph:form.pc23130,neuter,accusative,dual,aorist,active
urn:cite:morph:form.pc23131,neuter,accusative,dual,aorist,middle
urn:cite:morph:form.pc23132,neuter,accusative,dual,aorist,passive
urn:cite:morph:form.pc23140,neuter,accusative,dual,perfect,active
urn:cite:morph:form.pc23141,neuter,accusative,dual,perfect,middle
urn:cite:morph:form.pc23142,neuter,accusative,dual,perfect,passive
urn:cite:morph:form.pc23200,neuter,accusative,plural,present,active
urn:cite:morph:form.pc23201,neuter,accusative,plural,present,middle
urn:cite:morph:form.pc23202,neuter,accusative,plural,present,passive
urn:cite:morph:form.pc23220,neuter,accusative,plural,future,active
urn:cite:morph:form.pc23221,neuter,accusative,plural,future,middle
urn:cite:morph:form.pc23222,neuter,accusative,plural,future,passive
urn:cite:morph:form.pc23230,neuter,accusative,plural,aorist,active
urn:cite:morph:form.pc23231,neuter,accusative,plural,aorist,middle
urn:cite:morph:form.pc23232,neuter,accusative,plural,aorist,passive
urn:cite:morph:form.pc23240,neuter,accusative,plural,perfect,active
urn:cite:morph:form.pc23241,neuter,accusative,plural,perfect,middle
urn:cite:morph:form.pc23242,neuter,accusative,plural,perfect,passive
urn:cite:morph:form.pc24000,neuter,vocative,singular,present,active
urn:cite:morph:form.pc24001,neuter,vocative,singular,present,middle
urn:cite:morph:form.pc24002,neuter,vocative,singular,present,passive
urn:cite:morph:form.pc24020,neuter,vocative,singular,future,active
urn:cite:morph:form.pc24021,neuter,vocative,singular,future,middle
urn:cite:morph:form.pc24022,neuter,vocative,singular,future,passive
urn:cite:morph:form.pc24030,neuter,vocative,singular,aorist,active
urn:cite:morph:form.pc24031,neuter,vocative,singular,aorist,middle
urn:cite:morph:form.pc24032,neuter,vocative,singular,aorist,passive
urn:cite:morph:form.pc24040,neuter,vocative,singular,perfect,active
urn:cite:morph:form.pc24041,neuter,vocative,singular,perfect,middle
urn:cite:morph:form.pc24042,neuter,vocative,singular,perfect,passive
urn:cite:morph:form.pc24100,neuter,vocative,dual,present,active
urn:cite:morph:form.pc24101,neuter,vocative,dual,present,middle
urn:cite:morph:form.pc24102,neuter,vocative,dual,present,passive
urn:cite:morph:form.pc24120,neuter,vocative,dual,future,active
urn:cite:morph:form.pc24121,neuter,vocative,dual,future,middle
urn:cite:morph:form.pc24122,neuter,vocative,dual,future,passive
urn:cite:morph:form.pc24130,neuter,vocative,dual,aorist,active
urn:cite:morph:form.pc24131,neuter,vocative,dual,aorist,middle
urn:cite:morph:form.pc24132,neuter,vocative,dual,aorist,passive
urn:cite:morph:form.pc24140,neuter,vocative,dual,perfect,active
urn:cite:morph:form.pc24141,neuter,vocative,dual,perfect,middle
urn:cite:morph:form.pc24142,neuter,vocative,dual,perfect,passive
urn:cite:morph:form.pc24200,neuter,vocative,plural,present,active
urn:cite:morph:form.pc24201,neuter,vocative,plural,present,middle
urn:cite:morph:form.pc24202,neuter,vocative,plural,present,passive
urn:cite:morph:form.pc24220,neuter,vocative,plural,future,active
urn:cite:morph:form.pc24221,neuter,vocative,plural,future,middle
urn:cite:morph:form.pc24222,neuter,vocative,plural,future,passive
urn:cite:morph:form.pc24230,neuter,vocative,plural,aorist,active
urn:cite:morph:form.pc24231,neuter,vocative,plural,aorist,middle
urn:cite:morph:form.pc24232,neuter,vocative,plural,aorist,passive
urn:cite:morph:form.pc24240,neuter,vocative,plural,perfect,active
urn:cite:morph:form.pc24241,neuter,vocative,plural,perfect,middle
urn:cite:morph:form.pc24242,neuter,vocative,plural,perfect,passive
