RuleUrn,InflectionClasses,Ending,Person,Number,Tense,Mood,Voice
verbinfl.w_fut_indic18dh,ew,ou,hsh|,sg,fut,indic,pass
verbinfl.w_fut_indic18eh,ow,ou,hsh|,sg,fut,indic,pass


verbinfl.w_fut_indic19,w_regular,hsetai,3rd,sg,fut,indic,pass
verbinfl.w_fut_indic19c,aw,hsetai,3rd,sg,fut,indic,pass
verbinfl.w_fut_indic19d,ew,hsetai,3rd,sg,fut,indic,pass
verbinfl.w_fut_indic19e,ow,hsetai,3rd,sg,fut,indic,pass

verbinfl.w_fut_indic20,w_regular,hsesqon,2nd,dual,fut,indic,pass
verbinfl.w_fut_indic20c,aw,hsesqon,2nd,dual,fut,indic,pass
verbinfl.w_fut_indic20d,ew,hsesqon,2nd,dual,fut,indic,pass
verbinfl.w_fut_indic20e,ow,hsesqon,2nd,dual,fut,indic,pass

verbinfl.w_fut_indic21,w_regular,hsesqon,3rd,dual,fut,indic,pass
verbinfl.w_fut_indic21c,aw,hsesqon,3rd,dual,fut,indic,pass
verbinfl.w_fut_indic21d,ew,hsesqon,3rd,dual,fut,indic,pass
verbinfl.w_fut_indic21e,ow,hsesqon,3rd,dual,fut,indic,pass




verbinfl.w_fut_indic22,w_regular,hsomeqa,1st,pl,fut,indic,pass
verbinfl.w_fut_indic22c,aw,hsomeqa,1st,pl,fut,indic,pass
verbinfl.w_fut_indic22d,ew,hsomeqa,1st,pl,fut,indic,pass
verbinfl.w_fut_indic22e,ow,hsomeqa,1st,pl,fut,indic,pass

verbinfl.w_fut_indic23,w_regular,hsesqe,2nd,pl,fut,indic,pass
verbinfl.w_fut_indic23c,aw,hsesqe,2nd,pl,fut,indic,pass
verbinfl.w_fut_indic23d,ew,hsesqe,2nd,pl,fut,indic,pass
verbinfl.w_fut_indic23e,ow,hsesqe,2nd,pl,fut,indic,pass

verbinfl.w_fut_indic24,w_regular,hsontai,3rd,pl,fut,indic,pass
verbinfl.w_fut_indic24c,aw,hsontai,3rd,pl,fut,indic,pass
verbinfl.w_fut_indic24d,ew,hsontai,3rd,pl,fut,indic,pass
verbinfl.w_fut_indic24e,ow,hsontai,3rd,pl,fut,indic,pass
