StemUrn,LexicalEntity,StemString,MorphologicalClass,Tags
theodosius.n105945_0,lexent.n105945,tupt,w_pp1,
theodosius.n105945_1,lexent.n105945,tuy,w_pp2,
theodosius.n105945_2,lexent.n105945,tuy,w_pp3,
theodosius.n105945_3,lexent.n105945,tetuf,w_pp4,
theodosius.n105945_4,lexent.n105945,tetum,w_pp5,
theodosius.n105945_5,lexent.n105945,tuf,w_pp6,
