StemUrn,LexicalEntity,Stem,Gender,InflClass,Accent,Notes
lysias1.n103701_0,lexent.n103701,texn,fem,h_hs,stempenacc,
lysias1.n104087_0,lexent.n104087,titq,masc,os_ou,inflacc,
lysias1.n112060_0,lexent.n112060,fon,masc,os_ou,stempenacc,
lysias1.n114753_0,lexent.n114753,xron,masc,os_ou,stempenacc,
lysias1.n115675_0,lexent.n115675,yhf,fem,os_ou,stempenacc,
lysias1.n115887_0,lexent.n115887,yu_x,fem,h_hs,inflacc,
lysias1.n1169_0,lexent.n1169,a)dei,fem,a_as_short,stempenacc,
lysias1.n15893_0,lexent.n15893,a)rx,fem,h_hs,inflacc,
lysias1.n20020_0,lexent.n20020,bla^b,fem,h_hs,stempenacc,
lysias1.n2031_0,lexent.n2031,a_)ql,neut,os_ou,stempenacc,
lysias1.n22502_0,lexent.n22502,gnwm,fem,h_hs,stempenacc,
lysias1.n22814_0,lexent.n22814,gra^f,fem,h_hs,inflacc,
lysias1.n24421_0,lexent.n24421,dhmokra^ti,fem,a_as_long,stemultacc,
lysias1.n26943_0,lexent.n26943,di^k,fem,h_hs,stempenacc,
lysias1.n2739_0,lexent.n2739,ai)sxu_n,fem,h_hs,stemultacc,
lysias1.n2764_0,lexent.n2764,ai)ti,fem,a_as_long,stemultacc,
lysias1.n29241_0,lexent.n29241,dusm,fem,h_hs,inflacc,
lysias1.n42214_0,lexent.n42214,e)rg,neut,os_ou,stempenacc,
lysias1.n42983_0,lexent.n42983,e(sti,fem,a_as_long,stemultacc,
lysias1.n46228_0,lexent.n46228,zhmi,fem,a_as_long,stemultacc,
lysias1.n46650_0,lexent.n46650,h(don,fem,h_hs,inflacc,
lysias1.n46935_0,lexent.n46935,h(li,masc,os_ou,stempenacc,
lysias1.n46966_0,lexent.n46966,h(mer,fem,a_as_long,stemultacc,
lysias1.n48369_0,lexent.n48369,qerapain,fem,a_hs,stempenacc,
lysias1.n49463_0,lexent.n49463,qur,fem,a_as_long,stemultacc,
lysias1.n57936_0,lexent.n57936,kli_n,fem,h_hs,stempenacc,
lysias1.n63772_0,lexent.n63772,log,masc,os_ou,stempenacc,
lysias1.n64310_0,lexent.n64310,luxn,masc,os_ou,stempenacc,
lysias1.n68308_0,lexent.n68308,moix,masc,os_ou,inflacc,
lysias1.n71005_0,lexent.n71005,nom,masc,os_ou,stemultacc,
lysias1.n72092_0,lexent.n72092,o(d,fem,os_ou,inflacc,
lysias1.n72287_0,lexent.n72287,oi)ki,fem,a_as_long,stemultacc,
lysias1.n72287_0,lexent.n72287,oi)ki,fem,a_as_long,stemultacc,
lysias1.n74767_0,lexent.n74767,o)rg,fem,h_hs,inflacc,
lysias1.n761_0,lexent.n761,a)gor,fem,a_as_long,inflacc,
lysias1.n76486_0,lexent.n76486,pa_g,masc,os_ou,stempenacc,
lysias1.n76596_0,lexent.n76596,paidi,neut,os_ou,stempenacc,
lysias1.n8909_0,lexent.n8909,a)nqrwp,masc,os_ou,stempenacc,
lysias1.n941_0,lexent.n941,a)gr,masc,os_ou,inflacc,
lysias1.n94474_0,lexent.n94474,siwp,fem,h_hs,inflacc,
lysias1.n96702_0,lexent.n96702,sthl,fem,h_hs,stempenacc,
lysias1.n23762_0,lexent.n23762,deipn,neut,os_on,stempenacc,
lysias1.n26226_0,lexent.n26226,diafor,fem,a_as_long,inflacc,
lysias1.n29774_0,lexent.n29774,dwmati,neut,os_ou,stempenacc,
lysias1.n46228_0,lexent.n46228,zhmi,fem,a_as_long,stemultacc,
lysias1.n47876_0,lexent.n47876,qana^t,masc,os_ou,stempenacc,
lysias1.n76596_0,lexent.n76596,paidi,neut,os_ou,stempenacc,
lysias1.n84511_0,lexent.n84511,poli_t,masc,hs_ou,stemultacc,
lysias1.n94033_0,lexent.n94033,sidhr,neut,os_ou,stempenacc,
lysias1.n104023_0,lexent.n104023,ti_mwri,fem,h_hs,stemultacc,
lysias1.n1211_0,lexent.n1211,a)delf,masc,os_ou,inflacc,
lysias1.n31447_0,lexent.n31447,ei)sod,fem,os_ou,stempenacc,
lysias1.n63821_0,lexent.n63821,loidori,fem,a_as_long,stemultacc,
lysias1.n67004_0,lexent.n67004,metaul,masc,os_ou,stempenacc,
lysias1.n68296_0,lexent.n68296,moixei,fem,a_as_long,stemultacc,
lysias1.n79707_0,lexent.n79707,paroini,fem,a_as_long,stemultacc,
lysias1.n104023_0,lexent.n104023,ti_mwri,fem,a_as_long,stemultacc,
lysias1.n14835_0,lexent.n14835,a)rguri,neut,os_on,stempenacc,
lysias1.n69956_0,lexent.n69956,neaniskari,neut,os_ou,stempenacc,
lysias1.n70991_0,lexent.n70991,nomoqet,masc,hs_ou,stemultacc,
lysias1.n72351_0,lexent.n72351,oi)konom,masc,os_ou,stempenacc,
lysias1.n76600_0,lexent.n76600,paidisk,fem,h_hs,stemultacc,
lysias1.n77009_0,lexent.n77009,palla^k,fem,h_hs,inflacc,
lysias1.n97527_0,lexent.n97527,suggnwm,fem,h_hs,stemultacc,
lysias1.n72980_0,lexent.n72980,o)li^garxi,fem,a_as_long,stemultacc,
lysias1.n26920_0,lexent.n26920,di^kasthri,neut,os_ou,stempenacc,
lysias1.n72255_0,lexent.n72255,oi)keioth,fem,s_tos,stempenacc,
lysias1.n102847_0,lexent.n102847,tekmhri,neut,os_ou,stempenacc,
lysias1.n48517_0,lexent.n48517,qesmofori,neut,os_ou,stempenacc,
lysias1.n23248_0,lexent.n23248,da|,fem,is_idos,inflacc,
