StemUrn,LexicalEntity,Stem,Gender,InflClass,Accent,Tags
lsjpool.n16_0,lexent.n16,a)anq,fem,a_hs,stempenacc,
lsjpool.n21_0,lexent.n21,a)asifroni,fem,h_hs,stempenacc,
lsjpool.n24_0,lexent.n24,a)asm,masc,os_ou,inflacc,
lsjpool.n27_0,lexent.n27,a)ath,masc,r_ros,stemultacc,
lsjpool.n42_0,lexent.n42,a)baki,neut,os_ou,stempenacc,
lsjpool.n43_0,lexent.n43,a)bakisk,masc,os_ou,stemultacc,
lsjpool.n51_0,lexent.n51,a)^ba,masc,c_kos,stempenacc,
lsjpool.XXX_0,lexent.XXX,a)bat,neut,os_ou,stempenacc,
lsjpool.n70_0,lexent.n70,a)bd,masc,hs_ou,stempenacc,
lsjpool.n79_0,lexent.n79,a)belterokokku,masc,c_gos,stempenacc,
lsjpool.n87_0,lexent.n87,a)bibl,masc,hs_ou,stemultacc,
lsjpool.n98_0,lexent.n98,a)blabi,fem,h_hs,stempenacc,
lsjpool.n110_0,lexent.n110,a)blepth,neut,ma_matos,stempenacc,
lsjpool.n113_0,lexent.n113,a)bleyi,fem,h_hs,stempenacc,
lsjpool.XXX_0,lexent.XXX,a)blopi,fem,h_hs,stempenacc,
lsjpool.n124_0,lexent.n124,a)bohqhsi,fem,h_hs,stempenacc,
lsjpool.n131_0,lexent.n131,a)bolht,fem,us_uos,inflacc,
lsjpool.n132_0,lexent.n132,a)bolht,masc,wr_oros,stempenacc,
lsjpool.n133_0,lexent.n133,a)boll,fem,h_hs,stempenacc,
lsjpool.n152_0,lexent.n152,a(br,fem,h_hs,stempenacc,
lsjpool.n154_0,lexent.n154,a)bramidi,neut,os_ou,stempenacc,
lsjpool.XXX_0,lexent.XXX,a)bram,fem,is_idos,stempenacc,
lsjpool.n156_0,lexent.n156,a)bramu,masc,hs_ou,stemultacc,
lsjpool.n169_0,lexent.n169,a(brodiait,fem,a_hs,stempenacc,
lsjpool.n176_0,lexent.n176,a(bromitr,masc,hs_ou,stemultacc,
lsjpool.n185_0,lexent.n185,a(brosi,fem,h_hs,stempenacc,
lsjpool.n187_0,lexent.n187,a(brosun,fem,h_hs,stempenacc,
lsjpool.XXX_0,lexent.XXX,a)brotac,fem,is_ews,stempenacc,
lsjpool.n192_0,lexent.n192,a)brotin,fem,h_hs,stempenacc,
lsjpool.n197_0,lexent.n197,a(broxait,masc,hs_ou,stemultacc,
lsjpool.n199_0,lexent.n199,a)broxi,fem,h_hs,stempenacc,
lsjpool.n204_0,lexent.n204,a(brun,neut,os_ou,stempenacc,
lsjpool.n205_0,lexent.n205,a(brunt,masc,hs_ou,inflacc,
lsjpool.n208_0,lexent.n208,a(brw,neut,ma_matos,stempenacc,
lsjpool.n212_0,lexent.n212,a)brwsi,fem,h_hs,stempenacc,
lsjpool.n219_0,lexent.n219,a)burta^k,fem,h_hs,stempenacc,
lsjpool.n237_0,lexent.n237,a)gaqidi,neut,os_ou,stempenacc,
lsjpool.n239_0,lexent.n239,a)gaq,fem,is_idos,inflacc,
lsjpool.n240_0,lexent.n240,a)gaqogoni,fem,h_hs,stempenacc,
lsjpool.n243_0,lexent.n243,a)gaqodaimonist,masc,hs_ou,inflacc,
lsjpool.n245_0,lexent.n245,a)gaqodaim,masc,wn_onos,stempenacc,
lsjpool.n246_0,lexent.n246,a)gaqodosi,fem,h_hs,stempenacc,
lsjpool.n247_0,lexent.n247,a)gaqodot,masc,hs_ou,stemultacc,
lsjpool.n249_0,lexent.n249,a)gaqoergasi,fem,h_hs,stempenacc,
lsjpool.XXX_0,lexent.XXX,a)gaqoourgi,fem,h_hs,stempenacc,
lsjpool.n253_0,lexent.n253,a)gaqoqelei,fem,a_hs,stempenacc,
lsjpool.n257_0,lexent.n257,a)gaqopoihs,fem,is_ews,stempenacc,
lsjpool.XXX_0,lexent.XXX,a)zaq,neut,os_ou,inflacc,
lsjpool.n263_0,lexent.n263,a)gaqoth,fem,s_tos,stempenacc,
lsjpool.n270_0,lexent.n270,a)gaquns,fem,is_ews,stempenacc,
lsjpool.n272_0,lexent.n272,a)gaqw,neut,ma_matos,stempenacc,
lsjpool.n282_0,lexent.n282,a)galakti,fem,h_hs,stempenacc,
lsjpool.n284_0,lexent.n284,a)gal,masc,c_ktos,stempenacc,
