RuleUrn,InflectionClass,Ending,Gender,Case,Number,Tense,Voice
verbinfl.pp1_ptcp6n,w_regular,onte,neut,nom,dual,pres,act
verbinfl.pp1_ptcp7n,w_regular,ontoin,neut,gen,dual,pres,act
verbinfl.pp1_ptcp8n,w_regular,ontoin,neut,dat,dual,pres,act
verbinfl.pp1_ptcp9n,w_regular,onte,neut,acc,dual,pres,act
verbinfl.pp1_ptcp10n,w_regular,onte,neut,voc,dual,pres,act

verbinfl.pp1_ptcp11n,w_regular,onta,neut,nom,pl,pres,act
verbinfl.pp1_ptcp12n,w_regular,ontwn,neut,gen,pl,pres,act
verbinfl.pp1_ptcp13n,w_regular,ousi,neut,dat,pl,pres,act
verbinfl.pp1_ptcp13mn,w_regular,ousin,neut,dat,pl,pres,act
verbinfl.pp1_ptcp14n,w_regular,onta,neut,acc,pl,pres,act
verbinfl.pp1_ptcp15n,w_regular,onta,neut,voc,pl,pres,act







verbinfl.pp1ptcp-mp1m,w_regular,omenos,masc,nom,sg,pres,act
verbinfl.pp1ptcp-mp2m,w_regular,omenou,masc,gen,sg,pres,act
verbinfl.pp1ptcp-mp3m,w_regular,omenw|,masc,dat,sg,pres,act
verbinfl.pp1ptcp-mp4m,w_regular,omenon,masc,acc,sg,pres,act
verbinfl.pp1ptcp-mp5m,w_regular,omene,masc,voc,sg,pres,act

verbinfl.pp1ptcp-mp6m,w_regular,omenw,masc,nom,dual,pres,act
verbinfl.pp1ptcp-mp7m,w_regular,omenoin,masc,gen,dual,pres,act
verbinfl.pp1ptcp-mp8m,w_regular,omenoin,masc,dat,dual,pres,act
verbinfl.pp1ptcp-mp9m,w_regular,omenw,masc,acc,dual,pres,act
verbinfl.pp1ptcp-mp10m,w_regular,omenw,masc,voc,dual,pres,act

verbinfl.pp1ptcp-mp11m,w_regular,omenoi,masc,nom,pl,pres,act
verbinfl.pp1ptcp-mp12m,w_regular,omenwn,masc,gen,pl,pres,act
verbinfl.pp1ptcp-mp13m,w_regular,omenois,masc,dat,pl,pres,act
verbinfl.pp1ptcp-mp14m,w_regular,omenous,masc,acc,pl,pres,act
verbinfl.pp1ptcp-mp15m,w_regular,omenoi,masc,voc,pl,pres,act




verbinfl.pp1ptcp-mp1n,w_regular,omenon,masc,nom,sg,pres,act
verbinfl.pp1ptcp-mp2n,w_regular,omenou,masc,gen,sg,pres,act
verbinfl.pp1ptcp-mp3n,w_regular,omenw|,masc,dat,sg,pres,act
verbinfl.pp1ptcp-mp4n,w_regular,omenon,masc,acc,sg,pres,act
verbinfl.pp1ptcp-mp5n,w_regular,omenon,masc,voc,sg,pres,act

