RuleUrn,InflectionClass,Ending,Gender,Case,Number,Tense,Voice
verbinfl.w_aorptcp_mp13m,w_regular,amenais,fem,dat,pl,aor,mid
verbinfl.w_aorptcp_mp14m,w_regular,amena_s,fem,acc,pl,aor,mid
verbinfl.w_aorptcp_mp15m,w_regular,amenai,fem,voc,pl,aor,mid


verbinfl.w_aorptcp_mp1n,w_regular,amenon,neut,nom,sg,aor,mid
verbinfl.w_aorptcp_mp2n,w_regular,amenou,neut,gen,sg,aor,mid
verbinfl.w_aorptcp_mp3n,w_regular,amenw|,neut,dat,sg,aor,mid
verbinfl.w_aorptcp_mp4n,w_regular,amenon,neut,acc,sg,aor,mid
verbinfl.w_aorptcp_mp5n,w_regular,amenon,neut,voc,sg,aor,mid

verbinfl.w_aorptcp_mp6n,w_regular,amenw,neut,nom,dual,aor,mid
verbinfl.w_aorptcp_mp7n,w_regular,amenoin,neut,gen,dual,aor,mid
verbinfl.w_aorptcp_mp8n,w_regular,amenoin,neut,dat,dual,aor,mid
verbinfl.w_aorptcp_mp9n,w_regular,amenw,neut,acc,dual,aor,mid
verbinfl.w_aorptcp_mp10n,w_regular,amenw,neut,voc,dual,aor,mid

verbinfl.w_aorptcp_mp11n,w_regular,amena,neut,nom,pl,aor,mid
verbinfl.w_aorptcp_mp12n,w_regular,amenwn,neut,gen,pl,aor,mid
verbinfl.w_aorptcp_mp13n,w_regular,amenois,neut,dat,pl,aor,mid
verbinfl.w_aorptcp_mp14n,w_regular,amena,neut,acc,pl,aor,mid
verbinfl.w_aorptcp_mp15n,w_regular,amena,neut,voc,pl,aor,mid
