RuleUrn,InflectionClass,Ending,Gender,Case,Number,Tense,Voice
verbinfl.w_pp6_aor_passpt1m,w_pp6,ei/s,masc,nom,sg,aor,pass
verbinfl.w_pp6_aor_passpt2m,w_pp6,e/ntos,masc,gen,sg,aor,pass
verbinfl.w_pp6_aor_passpt3m,w_pp6,e/nti,masc,dat,sg,aor,pass
verbinfl.w_pp6_aor_passpt4m,w_pp6,e/nta,masc,acc,sg,aor,pass
verbinfl.w_pp6_aor_passpt5m,w_pp6,ei/s,masc,voc,sg,aor,pass

verbinfl.w_pp6_aor_passpt6m,w_pp6,e/nte,masc,nom,dual,aor,pass
verbinfl.w_pp6_aor_passpt7m,w_pp6,e/ntoin,masc,gen,dual,aor,pass
verbinfl.w_pp6_aor_passpt8m,w_pp6,e/ntoin,masc,dat,dual,aor,pass
verbinfl.w_pp6_aor_passpt9m,w_pp6,e/nte,masc,acc,dual,aor,pass
verbinfl.w_pp6_aor_passpt10m,w_pp6,e/nte,masc,voc,dual,aor,pass

verbinfl.w_pp6_aor_passpt11m,w_pp6,e/ntes,masc,nom,pl,aor,pass
verbinfl.w_pp6_aor_passpt12m,w_pp6,e/ntwn,masc,gen,pl,aor,pass
verbinfl.w_pp6_aor_passpt13m,w_pp6,ei=si,masc,dat,pl,aor,pass
verbinfl.w_pp6_aor_passpt13mn,w_pp6,ei=sin,masc,dat,pl,aor,pass
verbinfl.w_pp6_aor_passpt14m,w_pp6,e/ntas,masc,acc,pl,aor,pass
verbinfl.w_pp6_aor_passpt15m,w_pp6,e/ntes,masc,voc,pl,aor,pass




verbinfl.w_pp6_aor_passpt1f,w_pp6,ei=sa,fem,nom,sg,aor,pass
verbinfl.w_pp6_aor_passpt2f,w_pp6,ei/shs,fem,gen,sg,aor,pass
verbinfl.w_pp6_aor_passpt3f,w_pp6,ei/sh|,fem,dat,sg,aor,pass
verbinfl.w_pp6_aor_passpt4f,w_pp6,ei=san,fem,acc,sg,aor,pass
verbinfl.w_pp6_aor_passpt5f,w_pp6,ei=sa,fem,voc,sg,aor,pass

verbinfl.w_pp6_aor_passpt6f,w_pp6,ei/sa,fem,nom,dual,aor,pass
verbinfl.w_pp6_aor_passpt7f,w_pp6,ei/sain,fem,gen,dual,aor,pass
verbinfl.w_pp6_aor_passpt8f,w_pp6,ei/sain,fem,dat,dual,aor,pass
verbinfl.w_pp6_aor_passpt9f,w_pp6,ei/sa,fem,acc,dual,aor,pass
verbinfl.w_pp6_aor_passpt10f,w_pp6,ei/sa,fem,voc,dual,aor,pass

verbinfl.w_pp6_aor_passpt11f,w_pp6,ei=sai,fem,nom,pl,aor,pass
verbinfl.w_pp6_aor_passpt12f,w_pp6,eisw=n,fem,gen,pl,aor,pass
verbinfl.w_pp6_aor_passpt13f,w_pp6,ei/sais,fem,dat,pl,aor,pass
verbinfl.w_pp6_aor_passpt14f,w_pp6,ei/sas,fem,acc,pl,aor,pass
verbinfl.w_pp6_aor_passpt15f,w_pp6,ei=sai,fem,voc,pl,aor,pass




verbinfl.w_pp6_aor_passpt1n,w_pp6,e/n,neut,nom,sg,aor,pass
verbinfl.w_pp6_aor_passpt2n,w_pp6,e/ntos,neut,gen,sg,aor,pass
verbinfl.w_pp6_aor_passpt3n,w_pp6,e/nti,neut,dat,sg,aor,pass
verbinfl.w_pp6_aor_passpt4n,w_pp6,e/n,neut,acc,sg,aor,pass
verbinfl.w_pp6_aor_passpt5n,w_pp6,e/n,neut,voc,sg,aor,pass

verbinfl.w_pp6_aor_passpt6n,w_pp6,e/nte,neut,nom,dual,aor,pass
verbinfl.w_pp6_aor_passpt7n,w_pp6,e/ntoin,neut,gen,dual,aor,pass
verbinfl.w_pp6_aor_passpt8n,w_pp6,e/ntoin,neut,dat,dual,aor,pass
verbinfl.w_pp6_aor_passpt9n,w_pp6,e/nte,neut,acc,dual,aor,pass
verbinfl.w_pp6_aor_passpt10n,w_pp6,e/nte,neut,voc,dual,aor,pass

verbinfl.w_pp6_aor_passpt11n,w_pp6,e/nta,neut,nom,pl,aor,pass
verbinfl.w_pp6_aor_passpt12n,w_pp6,e/ntwn,neut,gen,pl,aor,pass
verbinfl.w_pp6_aor_passpt13n,w_pp6,ei=si,neut,dat,pl,aor,pass
verbinfl.w_pp6_aor_passpt13mn,w_pp6,ei=sin,neut,dat,pl,aor,pass
verbinfl.w_pp6_aor_passpt14n,w_pp6,e/nta,neut,acc,pl,aor,pass
verbinfl.w_pp6_aor_passpt15n,w_pp6,e/nta,neut,voc,pl,aor,pass
