RuleUrn,InflectionClass,Ending,Gender,Case,Number,Tense,Voice
verbinfl.m_pp5_midm,m_pp5,me/nos,masc,nom,sg,pft,mid
verbinfl.m_pp5_mid2m,m_pp5,me/nou,masc,gen,sg,pft,mid
verbinfl.m_pp5_mid3m,m_pp5,me/nw|,masc,dat,sg,pft,mid
verbinfl.m_pp5_mid4m,m_pp5,me/non,masc,acc,sg,pft,mid
verbinfl.m_pp5_mid5m,m_pp5,me/ne,masc,voc,sg,pft,mid

verbinfl.m_pp5_mid6m,m_pp5,me/nw,masc,nom,dual,pft,mid
verbinfl.m_pp5_mid7m,m_pp5,me/noin,masc,gen,dual,pft,mid
verbinfl.m_pp5_mid8m,m_pp5,me/noin,masc,dat,dual,pft,mid
verbinfl.m_pp5_mid9m,m_pp5,me/nw,masc,acc,dual,pft,mid
verbinfl.m_pp5_mid0m,m_pp5,me/nw,masc,voc,dual,pft,mid

verbinfl.m_pp5_m11m,m_pp5,me/noi,masc,nom,pl,pft,mid
verbinfl.m_pp5_mid2m,m_pp5,me/nwn,masc,gen,pl,pft,mid
verbinfl.m_pp5_mid3m,m_pp5,me/nois,masc,dat,pl,pft,mid
verbinfl.m_pp5_mid4m,m_pp5,me/nous,masc,acc,pl,pft,mid
verbinfl.m_pp5_mid5m,m_pp5,me/noi,masc,voc,pl,pft,mid

verbinfl.m_pp5_midn,m_pp5,me/non,neut,nom,sg,pft,mid
verbinfl.m_pp5_mid2n,m_pp5,me/nou,neut,gen,sg,pft,mid
verbinfl.m_pp5_mid3n,m_pp5,me/nw|,neut,dat,sg,pft,mid
verbinfl.m_pp5_mid4n,m_pp5,me/non,neut,acc,sg,pft,mid
verbinfl.m_pp5_mid5n,m_pp5,me/non,neut,voc,sg,pft,mid

verbinfl.m_pp5_mid6n,m_pp5,me/nw,neut,nom,dual,pft,mid
verbinfl.m_pp5_mid7n,m_pp5,me/noin,neut,gen,dual,pft,mid
verbinfl.m_pp5_mid8n,m_pp5,me/noin,neut,dat,dual,pft,mid
verbinfl.m_pp5_mid9n,m_pp5,me/nw,neut,acc,dual,pft,mid
verbinfl.m_pp5_mid0n,m_pp5,me/nw,neut,voc,dual,pft,mid

verbinfl.m_pp5_m11n,m_pp5,me/na,neut,nom,pl,pft,mid
verbinfl.m_pp5_mid2n,m_pp5,me/nwn,neut,gen,pl,pft,mid
verbinfl.m_pp5_mid3n,m_pp5,me/nois,neut,dat,pl,pft,mid
verbinfl.m_pp5_mid4n,m_pp5,me/na,neut,acc,pl,pft,mid
verbinfl.m_pp5_mid5n,m_pp5,me/na,neut,voc,pl,pft,mid


verbinfl.m_pp5_midf,m_pp5,me/nh,fem,nom,sg,pft,mid
verbinfl.m_pp5_mid2f,m_pp5,me/nhs,fem,gen,sg,pft,mid
verbinfl.m_pp5_mid3f,m_pp5,me/na|,fem,dat,sg,pft,mid
verbinfl.m_pp5_mid4f,m_pp5,me/nan,fem,acc,sg,pft,mid
verbinfl.m_pp5_mid5f,m_pp5,me/nh,fem,voc,sg,pft,mid

verbinfl.m_pp5_mid6n,m_pp5,me/na,fem,nom,dual,pft,mid
verbinfl.m_pp5_mid7f,m_pp5,me/nain,fem,gen,dual,pft,mid
verbinfl.m_pp5_mid8f,m_pp5,me/nain,fem,dat,dual,pft,mid
verbinfl.m_pp5_mid9f,m_pp5,me/na,fem,acc,dual,pft,mid
verbinfl.m_pp5_mid0f,m_pp5,me/na,fem,voc,dual,pft,mid

verbinfl.m_pp5_m11f,m_pp5,me/nai,fem,nom,pl,pft,mid
verbinfl.m_pp5_mid2f,m_pp5,me/nwn,fem,gen,pl,pft,mid
verbinfl.m_pp5_mid3f,m_pp5,me/nais,fem,dat,pl,pft,mid
verbinfl.m_pp5_mid4f,m_pp5,me/nas,fem,acc,pl,pft,mid
verbinfl.m_pp5_mid5f,m_pp5,me/nai,fem,voc,pl,pft,mid
