urn,normalizedlemma,shortdef
urn:cite:perseus:lexentity.lex111.1,Αἰνίς,""
urn:cite:perseus:lexentity.lex112.1,Αἰναρία,""
urn:cite:perseus:lexentity.lex113.1,Αἰνεάτης,""
urn:cite:perseus:lexentity.lex114.1,Αἰνείας,""
urn:cite:perseus:lexentity.lex115.1,Αἰνειάδες,""
urn:cite:perseus:lexentity.lex116.1,Αἰνεσίδημος,""
urn:cite:perseus:lexentity.lex117.1,Αἰνετός,""
urn:cite:perseus:lexentity.lex118.1,Αἰνησίας,""
urn:cite:perseus:lexentity.lex119.1,Αἰνησίδημος,""
urn:cite:perseus:lexentity.lex120.1,Αἰνιάν,""
urn:cite:perseus:lexentity.lex121.1,Αἰνόθεν,"from Aenus"
urn:cite:perseus:lexentity.lex122.1,Αἰνόπαρις,""
urn:cite:perseus:lexentity.lex123.1,Αἰξωνεύς,""
urn:cite:perseus:lexentity.lex124.1,Αἰολάδης,""
urn:cite:perseus:lexentity.lex125.1,Αἰολίδης,""
urn:cite:perseus:lexentity.lex126.1,Αἰολίη,""
urn:cite:perseus:lexentity.lex127.1,Αἰολίς,""
urn:cite:perseus:lexentity.lex128.1,Αἰολίων,""
urn:cite:perseus:lexentity.lex129.1,Αἰολεύς,""
urn:cite:perseus:lexentity.lex130.1,Αἰολικός,""
urn:cite:perseus:lexentity.lex131.1,Αἰπύ,""
urn:cite:perseus:lexentity.lex132.1,Αἰπύτης,""
urn:cite:perseus:lexentity.lex133.1,Αἰπύτιος,""
urn:cite:perseus:lexentity.lex134.1,Αἰσάνιος,""
urn:cite:perseus:lexentity.lex135.1,Αἰσίων,""
urn:cite:perseus:lexentity.lex136.1,Αἰσαγέης,""
urn:cite:perseus:lexentity.lex137.1,Αἰσιμίδης,""
urn:cite:perseus:lexentity.lex138.1,Αἰσονίδης,""
urn:cite:perseus:lexentity.lex139.1,Αἰσυήτης,""
urn:cite:perseus:lexentity.lex140.1,Αἰσυμνήτης,""
urn:cite:perseus:lexentity.lex141.1,Αἰσχίνης,""
urn:cite:perseus:lexentity.lex143.1,Αἰσχινάδης,""
urn:cite:perseus:lexentity.lex144.1,Αἰσχρίων,""
urn:cite:perseus:lexentity.lex145.1,Αἰσχρηίς,""
urn:cite:perseus:lexentity.lex146.1,Αἰσχριώνιος,""
urn:cite:perseus:lexentity.lex147.1,Αἰσχυλίδης,""
urn:cite:perseus:lexentity.lex148.1,Αἰσχύλειος,""
urn:cite:perseus:lexentity.lex149.1,Αἰσχύλινος,""
urn:cite:perseus:lexentity.lex150.1,Αἰσχύλος,""
urn:cite:perseus:lexentity.lex151.1,Αἰσωνίς,""
urn:cite:perseus:lexentity.lex152.1,Αἰσωποποίητος,""
urn:cite:perseus:lexentity.lex153.1,Αἰσύμη,""
urn:cite:perseus:lexentity.lex154.1,Αἰσύμνιον,""
urn:cite:perseus:lexentity.lex155.1,Αἰσώπειος,""
urn:cite:perseus:lexentity.lex156.1,Αἰτναῖος,""
urn:cite:perseus:lexentity.lex157.1,Αἰτωλάρχης,""
urn:cite:perseus:lexentity.lex158.1,Αἰτωλία,""
urn:cite:perseus:lexentity.lex159.1,Αἰτωλίη,""
urn:cite:perseus:lexentity.lex160.1,Αἰτωλίς,""
urn:cite:perseus:lexentity.lex161.1,Αἰτωλικός,""
urn:cite:perseus:lexentity.lex162.1,Αἰτωλοί,""
urn:cite:perseus:lexentity.lex163.1,Αἰτωλός,""
urn:cite:perseus:lexentity.lex164.1,Αἰτώλιος,""
urn:cite:perseus:lexentity.lex165.1,Αἰχμέας,""
urn:cite:perseus:lexentity.lex166.1,Αἰχμαγόρας,""
urn:cite:perseus:lexentity.lex167.1,Αἰόλιος,""
urn:cite:perseus:lexentity.lex168.1,Αἱμανός,""
urn:cite:perseus:lexentity.lex169.1,Αἱμονία,""
urn:cite:perseus:lexentity.lex170.1,Αἱμονίδης,""
urn:cite:perseus:lexentity.lex171.1,Αἱμόνιαι,""
urn:cite:perseus:lexentity.lex172.1,Αἱμόνιος,""
urn:cite:perseus:lexentity.lex173.1,Αἱμόστρατος,""
urn:cite:perseus:lexentity.lex174.1,Αἴακος,""
urn:cite:perseus:lexentity.lex175.1,Αἴας,""
urn:cite:perseus:lexentity.lex176.1,Αἴγειος,"of Aegeus"
urn:cite:perseus:lexentity.lex177.1,Αἴγειρα,""
urn:cite:perseus:lexentity.lex178.1,Αἴγεστα,""
urn:cite:perseus:lexentity.lex179.1,Αἴγη,""
urn:cite:perseus:lexentity.lex180.1,Αἴγιαι,""
urn:cite:perseus:lexentity.lex181.1,Αἴγιλα,""
urn:cite:perseus:lexentity.lex182.1,Αἴγινα,""
urn:cite:perseus:lexentity.lex183.1,Αἴγιον,""
urn:cite:perseus:lexentity.lex184.1,Αἴγιος,""
urn:cite:perseus:lexentity.lex185.1,Αἴγισθος,""
urn:cite:perseus:lexentity.lex187.1,Αἴγλη,""
urn:cite:perseus:lexentity.lex188.1,Αἴγυπτος,""
urn:cite:perseus:lexentity.lex189.1,Αἴγυρος,""
urn:cite:perseus:lexentity.lex190.1,Αἴγων,""
urn:cite:perseus:lexentity.lex191.1,Αἴδηψος,""
urn:cite:perseus:lexentity.lex192.1,Αἴθη,""
urn:cite:perseus:lexentity.lex193.1,Αἴθιξ,""
urn:cite:perseus:lexentity.lex194.1,Αἴθρη,""
urn:cite:perseus:lexentity.lex195.1,Αἴθυια,""
urn:cite:perseus:lexentity.lex196.1,Αἴθυλλα,""
urn:cite:perseus:lexentity.lex197.1,Αἴθων,""
urn:cite:perseus:lexentity.lex198.1,Αἴλανα,""
urn:cite:perseus:lexentity.lex199.1,Αἴλανον,""
urn:cite:perseus:lexentity.lex200.1,Αἴλιος,""
urn:cite:perseus:lexentity.lex201.1,Αἴνητος,""
urn:cite:perseus:lexentity.lex202.1,Αἴνιος,""
urn:cite:perseus:lexentity.lex203.1,Αἴνιτος,""
urn:cite:perseus:lexentity.lex204.1,Αἴξ,""
urn:cite:perseus:lexentity.lex205.1,Αἴολος,""
urn:cite:perseus:lexentity.lex206.1,Αἴπεια,""
urn:cite:perseus:lexentity.lex207.1,Αἴπυτος,""
urn:cite:perseus:lexentity.lex208.1,Αἴσακος,""
urn:cite:perseus:lexentity.lex209.1,Αἴσηπος,""
urn:cite:perseus:lexentity.lex210.1,Αἴσιμος,""
urn:cite:perseus:lexentity.lex211.1,Αἴσυμνος,""
urn:cite:perseus:lexentity.lex212.1,Αἴσυπος,""
urn:cite:perseus:lexentity.lex213.1,Αἴσχραιος,""
urn:cite:perseus:lexentity.lex214.1,Αἴσχρη,""
urn:cite:perseus:lexentity.lex215.1,Αἴσων,""
urn:cite:perseus:lexentity.lex216.1,Αἴσωνα,""
urn:cite:perseus:lexentity.lex217.1,Αἴσωπος,""
urn:cite:perseus:lexentity.lex218.1,Αἴτνη,""
urn:cite:perseus:lexentity.lex219.1,Αἵμων,""
urn:cite:perseus:lexentity.lex220.1,Αἶα,""
urn:cite:perseus:lexentity.lex221.1,Αἶγυς,""
urn:cite:perseus:lexentity.lex222.1,Αἶκαι,""
urn:cite:perseus:lexentity.lex223.1,Αἶκλος,""
urn:cite:perseus:lexentity.lex224.1,Αἶκος,""
urn:cite:perseus:lexentity.lex225.1,Αἶνος,""
urn:cite:perseus:lexentity.lex226.1,Αἶπυ,""
urn:cite:perseus:lexentity.lex227.1,Αἶσα,""
urn:cite:perseus:lexentity.lex228.1,Αἶχμις,""
urn:cite:perseus:lexentity.lex229.1,Αἷμος,""
urn:cite:perseus:lexentity.lex230.1,Αὐγέας,""
urn:cite:perseus:lexentity.lex231.1,Αὐγείας,""
urn:cite:perseus:lexentity.lex232.1,Αὐγειαί,""
urn:cite:perseus:lexentity.lex233.1,Αὐγουστάλιος,""
urn:cite:perseus:lexentity.lex234.1,Αὐγουστεῖον,""
urn:cite:perseus:lexentity.lex235.1,Αὐγούστα,""
urn:cite:perseus:lexentity.lex236.1,Αὐγούστεια,""
urn:cite:perseus:lexentity.lex237.1,Αὐγούστειος,""
urn:cite:perseus:lexentity.lex238.1,Αὐγώ,""
urn:cite:perseus:lexentity.lex239.1,Αὐδάτα,""
urn:cite:perseus:lexentity.lex240.1,Αὐδολέων,""
urn:cite:perseus:lexentity.lex241.1,Αὐδυναῖος,""
urn:cite:perseus:lexentity.lex242.1,Αὐενίων,""
urn:cite:perseus:lexentity.lex243.1,Αὐενιών,""
urn:cite:perseus:lexentity.lex244.1,Αὐεντῖνον,""
urn:cite:perseus:lexentity.lex245.1,Αὐλίς,""
urn:cite:perseus:lexentity.lex246.1,Αὐλιάδες,""
urn:cite:perseus:lexentity.lex247.1,Αὐλωνεύς,""
urn:cite:perseus:lexentity.lex248.1,Αὐλών,""
urn:cite:perseus:lexentity.lex249.1,Αὐλώνιος,""
urn:cite:perseus:lexentity.lex250.1,Αὐξησία,""
urn:cite:perseus:lexentity.lex251.1,Αὐξώ,""
urn:cite:perseus:lexentity.lex252.1,Αὐράσιον,""
urn:cite:perseus:lexentity.lex253.1,Αὐρήλιος,""
urn:cite:perseus:lexentity.lex254.1,Αὐρανῖτις,""
urn:cite:perseus:lexentity.lex255.1,Αὐσέας,""
urn:cite:perseus:lexentity.lex256.1,Αὐσονίη,""
urn:cite:perseus:lexentity.lex257.1,Αὐσονίς,""
urn:cite:perseus:lexentity.lex258.1,Αὐσχίσαι,""
urn:cite:perseus:lexentity.lex259.1,Αὐσόνιος,""
urn:cite:perseus:lexentity.lex260.1,Αὐτάριτος,""
urn:cite:perseus:lexentity.lex263.1,Αὐτεσίων,""
urn:cite:perseus:lexentity.lex264.1,Αὐτοβοισάκης,""
urn:cite:perseus:lexentity.lex265.1,Αὐτοθαίς,""
urn:cite:perseus:lexentity.lex266.1,Αὐτοκάνης,""
urn:cite:perseus:lexentity.lex267.1,Αὐτοκλείδης,""
urn:cite:perseus:lexentity.lex268.1,Αὐτοκλῆς,""
urn:cite:perseus:lexentity.lex269.1,Αὐτοκράτης,""
urn:cite:perseus:lexentity.lex270.1,Αὐτοκράτωρ,""
urn:cite:perseus:lexentity.lex271.1,Αὐτολύτη,""
urn:cite:perseus:lexentity.lex272.1,Αὐτομάτη,""
urn:cite:perseus:lexentity.lex273.1,Αὐτομέδων,""
urn:cite:perseus:lexentity.lex274.1,Αὐτομέλιννα,""
urn:cite:perseus:lexentity.lex275.1,Αὐτομένης,""
urn:cite:perseus:lexentity.lex276.1,Αὐτοματία,""
urn:cite:perseus:lexentity.lex277.1,Αὐτομεδούσα,""
urn:cite:perseus:lexentity.lex278.1,Αὐτονόη,""
urn:cite:perseus:lexentity.lex279.1,Αὐτοσθένης,""
urn:cite:perseus:lexentity.lex280.1,Αὐτοφραδάτης,""
urn:cite:perseus:lexentity.lex281.1,Αὐτοχαρίδας,""
urn:cite:perseus:lexentity.lex283.1,Αὐτόβουλος,""
urn:cite:perseus:lexentity.lex284.1,Αὐτόδικος,""
urn:cite:perseus:lexentity.lex285.1,Αὐτόλαος,""
urn:cite:perseus:lexentity.lex286.1,Αὐτόλυκος,""
urn:cite:perseus:lexentity.lex287.1,Αὐτόμαλα,""
urn:cite:perseus:lexentity.lex288.1,Αὐτόνομος,""
urn:cite:perseus:lexentity.lex289.1,Αὐτόνοος,""
urn:cite:perseus:lexentity.lex290.1,Αὐτόφονος,""
urn:cite:perseus:lexentity.lex291.1,Αὐφίδιος,""
urn:cite:perseus:lexentity.lex292.1,Αὐχάται,""
urn:cite:perseus:lexentity.lex294.1,Αὔαρος,""
urn:cite:perseus:lexentity.lex295.1,Αὔασις,""
urn:cite:perseus:lexentity.lex296.1,Αὔγη,""
urn:cite:perseus:lexentity.lex297.1,Αὔγιλα,""
urn:cite:perseus:lexentity.lex298.1,Αὔγουρ,""
urn:cite:perseus:lexentity.lex299.1,Αὔγουστα,""
urn:cite:perseus:lexentity.lex300.1,Αὔγουστος,""
urn:cite:perseus:lexentity.lex301.1,Αὔλισκος,""
urn:cite:perseus:lexentity.lex302.1,Αὔξιμον,""
urn:cite:perseus:lexentity.lex303.1,Αὔξουμον,""
urn:cite:perseus:lexentity.lex304.1,Αὔρα,""
urn:cite:perseus:lexentity.lex305.1,Αὔρας,""
urn:cite:perseus:lexentity.lex306.1,Αὔρουγκοι,""
urn:cite:perseus:lexentity.lex307.1,Αὔσα,""
urn:cite:perseus:lexentity.lex308.1,Αὔσκιοι,""
urn:cite:perseus:lexentity.lex309.1,Αὔσων,""
urn:cite:perseus:lexentity.lex310.1,Αὔφιδος,""
urn:cite:perseus:lexentity.lex312.1,Αὖλος,""
urn:cite:perseus:lexentity.lex313.1,Βάβα,""
urn:cite:perseus:lexentity.lex314.1,Βάβριος,""
urn:cite:perseus:lexentity.lex315.1,Βάβυς,""
urn:cite:perseus:lexentity.lex316.1,Βάγη,""
urn:cite:perseus:lexentity.lex317.1,Βάδακον,""
urn:cite:perseus:lexentity.lex318.1,Βάδρας,""
urn:cite:perseus:lexentity.lex319.1,Βάζιρα,""
urn:cite:perseus:lexentity.lex321.1,Βάθος,""
urn:cite:perseus:lexentity.lex322.1,Βάθυλλος,""
urn:cite:perseus:lexentity.lex323.1,Βάκις,""
urn:cite:perseus:lexentity.lex324.1,Βάκτρα,""
urn:cite:perseus:lexentity.lex325.1,Βάκτριος,""
urn:cite:perseus:lexentity.lex326.1,Βάκτρος,""
urn:cite:perseus:lexentity.lex327.1,Βάκχειος,""
urn:cite:perseus:lexentity.lex328.1,Βάκχευμα,""
