urn,normalizedlemma,shortdef
urn:cite:perseus:lexentity.lex4344.1,Κυδώνιος,""
urn:cite:perseus:lexentity.lex4345.1,Κυζικηνικός,""
urn:cite:perseus:lexentity.lex4346.1,Κυζικηνός,""
urn:cite:perseus:lexentity.lex4347.1,Κυθέρεια,""
urn:cite:perseus:lexentity.lex4348.1,Κυθήριος,""
urn:cite:perseus:lexentity.lex4349.1,Κυθήροθεν,""
urn:cite:perseus:lexentity.lex4350.1,Κυθερηίς,""
urn:cite:perseus:lexentity.lex4351.1,Κυθηριάς,""
urn:cite:perseus:lexentity.lex4352.1,Κυθηροδίκης,""
urn:cite:perseus:lexentity.lex4354.1,Κυθνώλης,""
urn:cite:perseus:lexentity.lex4355.1,Κυιντιλίαι,""
urn:cite:perseus:lexentity.lex4356.1,Κυιντιλίας,""
urn:cite:perseus:lexentity.lex4357.1,Κυκλάδες,""
urn:cite:perseus:lexentity.lex4358.1,Κυκλειών,""
urn:cite:perseus:lexentity.lex4359.1,Κυκλιάδας,""
urn:cite:perseus:lexentity.lex4376.1,Κυλάραβις,""
urn:cite:perseus:lexentity.lex4377.1,Κυλαράβης,""
urn:cite:perseus:lexentity.lex4378.1,Κυλλήν,""
urn:cite:perseus:lexentity.lex4379.1,Κυλλήνη,""
urn:cite:perseus:lexentity.lex4380.1,Κυλλοποδίων,""
urn:cite:perseus:lexentity.lex4381.1,Κυλωνεῖος,""
urn:cite:perseus:lexentity.lex4382.1,Κυματολήγη,""
urn:cite:perseus:lexentity.lex4383.1,Κυμαῖος,""
urn:cite:perseus:lexentity.lex4384.1,Κυμοδόκη,""
urn:cite:perseus:lexentity.lex4385.1,Κυμοθόη,""
urn:cite:perseus:lexentity.lex4386.1,Κυμοπόλεια,""
urn:cite:perseus:lexentity.lex4387.1,Κυμώ,""
urn:cite:perseus:lexentity.lex4388.1,Κυνέγειρος,""
urn:cite:perseus:lexentity.lex4389.1,Κυνίσκη,""
urn:cite:perseus:lexentity.lex4390.1,Κυνίσκος,""
urn:cite:perseus:lexentity.lex4391.1,Κυναίγειρος,""
urn:cite:perseus:lexentity.lex4392.1,Κυναγίδας,""
urn:cite:perseus:lexentity.lex4393.1,Κυναιθαεύς,""
urn:cite:perseus:lexentity.lex4394.1,Κυναιθεύς,""
urn:cite:perseus:lexentity.lex4395.1,Κυναμολγοί,""
urn:cite:perseus:lexentity.lex4396.1,Κυνθογενής,""
urn:cite:perseus:lexentity.lex4397.1,Κυνικός,""
urn:cite:perseus:lexentity.lex4398.1,Κυνοπολίτης,""
urn:cite:perseus:lexentity.lex4399.1,Κυνοσουρεύς,""
urn:cite:perseus:lexentity.lex4400.1,Κυνοσούρα,""
urn:cite:perseus:lexentity.lex4401.1,Κυνουρίας,""
urn:cite:perseus:lexentity.lex4402.1,Κυνουρεύς,""
urn:cite:perseus:lexentity.lex4403.1,Κυνουριακή,""
urn:cite:perseus:lexentity.lex4404.1,Κυνούριος,""
urn:cite:perseus:lexentity.lex4405.1,Κυνόρτης,""
urn:cite:perseus:lexentity.lex4406.1,Κυνόρτιον,""
urn:cite:perseus:lexentity.lex4407.1,Κυνός,""
urn:cite:perseus:lexentity.lex4408.1,Κυνόσαργες,""
urn:cite:perseus:lexentity.lex4409.1,Κυνόφαλοι,""
urn:cite:perseus:lexentity.lex4410.1,Κυνώ,""
urn:cite:perseus:lexentity.lex4411.1,Κυπάρισσος,""
urn:cite:perseus:lexentity.lex4412.1,Κυπαρίσσιαι,""
urn:cite:perseus:lexentity.lex4413.1,Κυπαρισσήεις,""
urn:cite:perseus:lexentity.lex4414.1,Κυπαρισσία,""
urn:cite:perseus:lexentity.lex4415.1,Κυπρία,""
urn:cite:perseus:lexentity.lex4416.1,Κυπρίδιος,""
urn:cite:perseus:lexentity.lex4417.1,Κυπριακός,""
urn:cite:perseus:lexentity.lex4418.1,Κυπριεύς,""
urn:cite:perseus:lexentity.lex4419.1,Κυπρογένεια,""
urn:cite:perseus:lexentity.lex4420.1,Κυπρογενής,""
urn:cite:perseus:lexentity.lex4422.1,Κυπρόθεν,""
urn:cite:perseus:lexentity.lex4423.1,Κυρήνη,""
urn:cite:perseus:lexentity.lex4424.1,Κυρίνιον,""
urn:cite:perseus:lexentity.lex4425.1,Κυρίνιος,""
urn:cite:perseus:lexentity.lex4426.1,Κυρίτης,""
urn:cite:perseus:lexentity.lex4427.1,Κυρετιεύς,""
urn:cite:perseus:lexentity.lex4428.1,Κυρηναικός,""
urn:cite:perseus:lexentity.lex4429.1,Κυρηναῖος,""
urn:cite:perseus:lexentity.lex4430.1,Κυριακόν,""
urn:cite:perseus:lexentity.lex4431.1,Κυρικτική,""
urn:cite:perseus:lexentity.lex4432.1,Κυρμιάναι,""
urn:cite:perseus:lexentity.lex4433.1,Κυρρηστίς,""
urn:cite:perseus:lexentity.lex4434.1,Κυρρηστική,""
urn:cite:perseus:lexentity.lex4435.1,Κυρσίλος,""
urn:cite:perseus:lexentity.lex4436.1,Κυρτώνη,""
urn:cite:perseus:lexentity.lex4437.1,Κυρτώνης,""
urn:cite:perseus:lexentity.lex4438.1,Κυρτώνιος,""
urn:cite:perseus:lexentity.lex4439.1,Κυρωνίδης,""
urn:cite:perseus:lexentity.lex4440.1,Κυρῖνος,""
urn:cite:perseus:lexentity.lex4441.1,Κυρῖτις,""
urn:cite:perseus:lexentity.lex4442.1,Κυτίνιον,""
urn:cite:perseus:lexentity.lex4443.1,Κυτίσσωρος,""
urn:cite:perseus:lexentity.lex4444.1,Κυτίσωρος,""
urn:cite:perseus:lexentity.lex4445.1,Κυταιίς,""
urn:cite:perseus:lexentity.lex4447.1,Κυφαρίσσινος,""
urn:cite:perseus:lexentity.lex4448.1,Κυφαρισσία,""
urn:cite:perseus:lexentity.lex4449.1,Κυφαρισσίτας,""
urn:cite:perseus:lexentity.lex4450.1,Κυχρείδης,""
urn:cite:perseus:lexentity.lex4451.1,Κυχρεῖος,""
urn:cite:perseus:lexentity.lex4452.1,Κυψελίδαι,""
urn:cite:perseus:lexentity.lex4453.1,Κωκυτός,""
urn:cite:perseus:lexentity.lex4454.1,Κωλαῖος,""
urn:cite:perseus:lexentity.lex4455.1,Κωλιάς,""
urn:cite:perseus:lexentity.lex4456.1,Κωλυεργίη,""
urn:cite:perseus:lexentity.lex4457.1,Κωλωτάριος,""
urn:cite:perseus:lexentity.lex4458.1,Κωλώτης,""
urn:cite:perseus:lexentity.lex4459.1,Κωμίας,""
urn:cite:perseus:lexentity.lex4460.1,Κωμαρχίδης,""
urn:cite:perseus:lexentity.lex4461.1,Κωνσεντία,""
urn:cite:perseus:lexentity.lex4462.1,Κωνσταντία,""
urn:cite:perseus:lexentity.lex4463.1,Κωνσταντίνα,""
urn:cite:perseus:lexentity.lex4464.1,Κωνσταντῖνος,""
urn:cite:perseus:lexentity.lex4465.1,Κωπαίς,""
urn:cite:perseus:lexentity.lex4466.1,Κωπαιεύς,""
urn:cite:perseus:lexentity.lex4467.1,Κωπώνιος,""
urn:cite:perseus:lexentity.lex4468.1,Κωρυκίς,""
urn:cite:perseus:lexentity.lex4469.1,Κωρυκαῖος,""
urn:cite:perseus:lexentity.lex4470.1,Κωρυκιώτης,""
urn:cite:perseus:lexentity.lex4471.1,Κωρύκιος,""
urn:cite:perseus:lexentity.lex4472.1,Κωσεντία,""
urn:cite:perseus:lexentity.lex4473.1,Κωτίλιος,""
urn:cite:perseus:lexentity.lex4474.1,Κωφάντα,""
urn:cite:perseus:lexentity.lex4475.1,Κωφάς,""
urn:cite:perseus:lexentity.lex4476.1,Κωφός,""
urn:cite:perseus:lexentity.lex4477.1,Κόβων,""
urn:cite:perseus:lexentity.lex4478.1,Κόδδινος,""
urn:cite:perseus:lexentity.lex4479.1,Κόδρατος,""
urn:cite:perseus:lexentity.lex4480.1,Κόδρος,""
urn:cite:perseus:lexentity.lex4481.1,Κόης,""
urn:cite:perseus:lexentity.lex4482.1,Κόθος,""
urn:cite:perseus:lexentity.lex4483.1,Κόιντος,""
urn:cite:perseus:lexentity.lex4484.1,Κόκκος,""
urn:cite:perseus:lexentity.lex4485.1,Κόκλιος,""
urn:cite:perseus:lexentity.lex4486.1,Κόκυνθος,""
urn:cite:perseus:lexentity.lex4487.1,Κόλαπις,""
urn:cite:perseus:lexentity.lex4488.1,Κόλοσσαι,""
urn:cite:perseus:lexentity.lex4489.1,Κόλπος,""
urn:cite:perseus:lexentity.lex4490.1,Κόλτα,""
urn:cite:perseus:lexentity.lex4491.1,Κόλχος,""
urn:cite:perseus:lexentity.lex4492.1,Κόμπασμα,""
urn:cite:perseus:lexentity.lex4493.1,Κόμψαντος,""
urn:cite:perseus:lexentity.lex4494.1,Κόμων,""
urn:cite:perseus:lexentity.lex4495.1,Κόνιος,""
urn:cite:perseus:lexentity.lex4496.1,Κόννος,""
urn:cite:perseus:lexentity.lex4497.1,Κόνων,""
urn:cite:perseus:lexentity.lex4498.1,Κόπτος,""
urn:cite:perseus:lexentity.lex4499.1,Κόρα,""
urn:cite:perseus:lexentity.lex4500.1,Κόραγος,""
urn:cite:perseus:lexentity.lex4501.1,Κόρακος,""
urn:cite:perseus:lexentity.lex4502.1,Κόραλλα,""
urn:cite:perseus:lexentity.lex4503.1,Κόραξ,""
urn:cite:perseus:lexentity.lex4504.1,Κόραξοι,""
urn:cite:perseus:lexentity.lex4505.1,Κόρδης,""
urn:cite:perseus:lexentity.lex4506.1,Κόρδυβα,""
urn:cite:perseus:lexentity.lex4507.1,Κόρεσος,""
urn:cite:perseus:lexentity.lex4508.1,Κόρησος,""
urn:cite:perseus:lexentity.lex4509.1,Κόρινθος,""
urn:cite:perseus:lexentity.lex4510.1,Κόριννα,""
urn:cite:perseus:lexentity.lex4511.1,Κόριον,""
urn:cite:perseus:lexentity.lex4512.1,Κόριος,""
urn:cite:perseus:lexentity.lex4513.1,Κόρνικλος,""
urn:cite:perseus:lexentity.lex4514.1,Κόρνος,""
urn:cite:perseus:lexentity.lex4515.1,Κόροιβος,""
urn:cite:perseus:lexentity.lex4516.1,Κόροντα,""
urn:cite:perseus:lexentity.lex4517.1,Κόρσικα,""
urn:cite:perseus:lexentity.lex4518.1,Κόρυδος,""
urn:cite:perseus:lexentity.lex4519.1,Κόρυθος,""
urn:cite:perseus:lexentity.lex4520.1,Κόρυς,""
urn:cite:perseus:lexentity.lex4521.1,Κόρυφον,""
urn:cite:perseus:lexentity.lex4522.1,Κόρωνος,""
urn:cite:perseus:lexentity.lex4523.1,Κόρϝα,""
urn:cite:perseus:lexentity.lex4524.1,Κόσσα,""
urn:cite:perseus:lexentity.lex4525.1,Κόσσαι,""
urn:cite:perseus:lexentity.lex4526.1,Κόσσιον,""
urn:cite:perseus:lexentity.lex4527.1,Κόσσος,""
urn:cite:perseus:lexentity.lex4528.1,Κόττος,""
urn:cite:perseus:lexentity.lex4529.1,Κότυς,""
urn:cite:perseus:lexentity.lex4530.1,Κόων,""
urn:cite:perseus:lexentity.lex4531.1,Κόωνδε,""
urn:cite:perseus:lexentity.lex4532.1,Κύαθος,""
urn:cite:perseus:lexentity.lex4533.1,Κύβελα,""
urn:cite:perseus:lexentity.lex4534.1,Κύβελον,""
urn:cite:perseus:lexentity.lex4535.1,Κύβηβος,""
urn:cite:perseus:lexentity.lex4536.1,Κύβιστρα,""
urn:cite:perseus:lexentity.lex4537.1,Κύδας,""
urn:cite:perseus:lexentity.lex4538.1,Κύδνος,""
urn:cite:perseus:lexentity.lex4539.1,Κύδραρα,""
urn:cite:perseus:lexentity.lex4540.1,Κύδων,""
urn:cite:perseus:lexentity.lex4541.1,Κύδωνες,""
urn:cite:perseus:lexentity.lex4542.1,Κύδωνος,""
urn:cite:perseus:lexentity.lex4543.1,Κύζικος,""
urn:cite:perseus:lexentity.lex4544.1,Κύθηρα,""
urn:cite:perseus:lexentity.lex4545.1,Κύθηρος,""
urn:cite:perseus:lexentity.lex4546.1,Κύθνιος,""
urn:cite:perseus:lexentity.lex4547.1,Κύθνος,""
urn:cite:perseus:lexentity.lex4548.1,Κύκλωψ,""
urn:cite:perseus:lexentity.lex4549.1,Κύκνειος,""
urn:cite:perseus:lexentity.lex4550.1,Κύκνος,""
urn:cite:perseus:lexentity.lex4551.1,Κύκοωψ,""
urn:cite:perseus:lexentity.lex4552.1,Κύλλαρος,""
urn:cite:perseus:lexentity.lex4553.1,Κύλων,""
urn:cite:perseus:lexentity.lex4554.1,Κύμη,""
urn:cite:perseus:lexentity.lex4555.1,Κύναιθα,""
urn:cite:perseus:lexentity.lex4556.1,Κύναιθος,""
urn:cite:perseus:lexentity.lex4557.1,Κύνεος,""
urn:cite:perseus:lexentity.lex4558.1,Κύνη,""
urn:cite:perseus:lexentity.lex4559.1,Κύνης,""
urn:cite:perseus:lexentity.lex4560.1,Κύνθος,""
urn:cite:perseus:lexentity.lex4561.1,Κύννα,""
urn:cite:perseus:lexentity.lex4562.1,Κύνουλκος,""
urn:cite:perseus:lexentity.lex4563.1,Κύνουρος,""
urn:cite:perseus:lexentity.lex4564.1,Κύον,""
urn:cite:perseus:lexentity.lex4565.1,Κύπαιρα,""
urn:cite:perseus:lexentity.lex4566.1,Κύπρια,""
urn:cite:perseus:lexentity.lex4567.1,Κύπριος,""
urn:cite:perseus:lexentity.lex4568.1,Κύπρις,""
urn:cite:perseus:lexentity.lex4569.1,Κύπρονδε,""
urn:cite:perseus:lexentity.lex4570.1,Κύπρος,""
urn:cite:perseus:lexentity.lex4571.1,Κύρα,""
urn:cite:perseus:lexentity.lex4572.1,Κύραυις,""
urn:cite:perseus:lexentity.lex4573.1,Κύρβας,""
urn:cite:perseus:lexentity.lex4574.1,Κύρβη,""
urn:cite:perseus:lexentity.lex4575.1,Κύρειος,""
urn:cite:perseus:lexentity.lex4576.1,Κύρεις,""
urn:cite:perseus:lexentity.lex4577.1,Κύρης,""
urn:cite:perseus:lexentity.lex4578.1,Κύριλλος,""
urn:cite:perseus:lexentity.lex4579.1,Κύρμασα,""
urn:cite:perseus:lexentity.lex4580.1,Κύρνιοι,""
urn:cite:perseus:lexentity.lex4581.1,Κύρνος,""
urn:cite:perseus:lexentity.lex4582.1,Κύρρος,""
urn:cite:perseus:lexentity.lex4583.1,Κύρτιοι,""
urn:cite:perseus:lexentity.lex4584.1,Κύτωρος,""
urn:cite:perseus:lexentity.lex4585.1,Κύφαντα,""
urn:cite:perseus:lexentity.lex4586.1,Κύφος,""
urn:cite:perseus:lexentity.lex4587.1,Κύχρευς,""
urn:cite:perseus:lexentity.lex4588.1,Κύψελα,""
urn:cite:perseus:lexentity.lex4589.1,Κύψελος,""
urn:cite:perseus:lexentity.lex4590.1,Κώης,""
urn:cite:perseus:lexentity.lex4591.1,Κώθων,""
urn:cite:perseus:lexentity.lex4592.1,Κώκαλα,""
urn:cite:perseus:lexentity.lex4593.1,Κώκαλος,""
urn:cite:perseus:lexentity.lex4594.1,Κώκυτος,""
urn:cite:perseus:lexentity.lex4595.1,Κώμη,""
urn:cite:perseus:lexentity.lex4596.1,Κώμων,""
urn:cite:perseus:lexentity.lex4597.1,Κώρυκος,""
urn:cite:perseus:lexentity.lex4598.1,Κώτης,""
urn:cite:perseus:lexentity.lex4599.1,Κώτιλον,""
urn:cite:perseus:lexentity.lex4600.1,Κώφης,""
urn:cite:perseus:lexentity.lex4601.1,Κᾶρος,""
urn:cite:perseus:lexentity.lex4603.1,Κῆποι,""
urn:cite:perseus:lexentity.lex4604.1,Κῆπος,""
urn:cite:perseus:lexentity.lex4605.1,Κῆρ,""
urn:cite:perseus:lexentity.lex4607.1,Κῖος,""
urn:cite:perseus:lexentity.lex4608.1,Κῦννος,""
urn:cite:perseus:lexentity.lex4609.1,Κῦνον,""
urn:cite:perseus:lexentity.lex4610.1,Κῦνος,""
urn:cite:perseus:lexentity.lex4611.1,Κῦρος,""
urn:cite:perseus:lexentity.lex4612.1,Κῳακός,""
urn:cite:perseus:lexentity.lex4613.1,Κῶμος,""
urn:cite:perseus:lexentity.lex4614.1,Κῶος,""
urn:cite:perseus:lexentity.lex4615.1,Κῶς,""
urn:cite:perseus:lexentity.lex4616.1,Κῷον,""
urn:cite:perseus:lexentity.lex4617.1,Κῷος,""
urn:cite:perseus:lexentity.lex4619.1,Λ̓γκαῖος,""
urn:cite:perseus:lexentity.lex4620.1,Λ̓πόλλων,""
urn:cite:perseus:lexentity.lex4621.1,Λάαρχος,""
urn:cite:perseus:lexentity.lex4622.1,Λάας,""
urn:cite:perseus:lexentity.lex4623.1,Λάβανος,""
urn:cite:perseus:lexentity.lex4624.1,Λάβαξ,""
urn:cite:perseus:lexentity.lex4626.1,Λάβδα,""
urn:cite:perseus:lexentity.lex4627.1,Λάβδακος,""
urn:cite:perseus:lexentity.lex4628.1,Λάβδαλον,""
urn:cite:perseus:lexentity.lex4629.1,Λάβης,""
urn:cite:perseus:lexentity.lex4630.1,Λάβος,""
urn:cite:perseus:lexentity.lex4631.1,Λάβραυνδα,""
urn:cite:perseus:lexentity.lex4632.1,Λάβωτος,""
urn:cite:perseus:lexentity.lex4633.1,Λάγγων,""
urn:cite:perseus:lexentity.lex4634.1,Λάγινα,""
urn:cite:perseus:lexentity.lex4635.1,Λάγιος,""
urn:cite:perseus:lexentity.lex4636.1,Λάγος,""
urn:cite:perseus:lexentity.lex4637.1,Λάγουσα,""
urn:cite:perseus:lexentity.lex4638.1,Λάδη,""
urn:cite:perseus:lexentity.lex4640.1,Λάδοκος,""
urn:cite:perseus:lexentity.lex4641.1,Λάδων,""
urn:cite:perseus:lexentity.lex4642.1,Λάζαρος,""
urn:cite:perseus:lexentity.lex4643.1,Λάθουρος,""
urn:cite:perseus:lexentity.lex4644.1,Λάκαινα,""
urn:cite:perseus:lexentity.lex4645.1,Λάκιος,""
urn:cite:perseus:lexentity.lex4646.1,Λάκμων,""
urn:cite:perseus:lexentity.lex4647.1,Λάκριτος,""
urn:cite:perseus:lexentity.lex4648.1,Λάκων,""
urn:cite:perseus:lexentity.lex4649.1,Λάμας,""
urn:cite:perseus:lexentity.lex4650.1,Λάμαχος,""
urn:cite:perseus:lexentity.lex4652.1,Λάμεχος,""
urn:cite:perseus:lexentity.lex4653.1,Λάμια,""
urn:cite:perseus:lexentity.lex4654.1,Λάμισκος,""
urn:cite:perseus:lexentity.lex4655.1,Λάμος,""
urn:cite:perseus:lexentity.lex4656.1,Λάμπα,""
urn:cite:perseus:lexentity.lex4657.1,Λάμπαι,""
urn:cite:perseus:lexentity.lex4658.1,Λάμπη,""
urn:cite:perseus:lexentity.lex4659.1,Λάμπις,""
urn:cite:perseus:lexentity.lex4660.1,Λάμπος,""
urn:cite:perseus:lexentity.lex4661.1,Λάμπρος,""
urn:cite:perseus:lexentity.lex4662.1,Λάμπων,""
urn:cite:perseus:lexentity.lex4664.1,Λάμψακος,""
urn:cite:perseus:lexentity.lex4665.1,Λάνασσα,""
urn:cite:perseus:lexentity.lex4666.1,Λάνοτρος,""
urn:cite:perseus:lexentity.lex4668.1,Λάπαθος,""
urn:cite:perseus:lexentity.lex4669.1,Λάπη,""
urn:cite:perseus:lexentity.lex4670.1,Λάπηθος,""
urn:cite:perseus:lexentity.lex4671.1,Λάπιθος,""
urn:cite:perseus:lexentity.lex4672.1,Λάππα,""
urn:cite:perseus:lexentity.lex4673.1,Λάρανδα,""
urn:cite:perseus:lexentity.lex4675.1,Λάρης,""
urn:cite:perseus:lexentity.lex4676.1,Λάριβος,""
urn:cite:perseus:lexentity.lex4677.1,Λάρινα,""
urn:cite:perseus:lexentity.lex4678.1,Λάριος,""
urn:cite:perseus:lexentity.lex4679.1,Λάρισα,""
urn:cite:perseus:lexentity.lex4680.1,Λάρισος,""
urn:cite:perseus:lexentity.lex4681.1,Λάρισσα,""
urn:cite:perseus:lexentity.lex4682.1,Λάριχος,""
urn:cite:perseus:lexentity.lex4683.1,Λάρκιος,""
urn:cite:perseus:lexentity.lex4684.1,Λάρος,""
urn:cite:perseus:lexentity.lex4685.1,Λάρτιος,""
urn:cite:perseus:lexentity.lex4686.1,Λάρυμνα,""
urn:cite:perseus:lexentity.lex4687.1,Λάσιος,""
urn:cite:perseus:lexentity.lex4688.1,Λάσος,""
urn:cite:perseus:lexentity.lex4689.1,Λάτιον,""
urn:cite:perseus:lexentity.lex4690.1,Λάτμιος,""
urn:cite:perseus:lexentity.lex4691.1,Λάτμος,""
urn:cite:perseus:lexentity.lex4692.1,Λάτων,""
urn:cite:perseus:lexentity.lex4693.1,Λάφιλος,""
urn:cite:perseus:lexentity.lex4694.1,Λάφρια,""
urn:cite:perseus:lexentity.lex4695.1,Λάφριος,""
urn:cite:perseus:lexentity.lex4696.1,Λάχεις,""
urn:cite:perseus:lexentity.lex4697.1,Λάχεσις,""
urn:cite:perseus:lexentity.lex4698.1,Λάχης,""
urn:cite:perseus:lexentity.lex4699.1,Λάχων,""
urn:cite:perseus:lexentity.lex4700.1,Λέαγρος,""
urn:cite:perseus:lexentity.lex4701.1,Λέαινα,""
urn:cite:perseus:lexentity.lex4702.1,Λέανδρος,""
urn:cite:perseus:lexentity.lex4703.1,Λέαρχος,""
urn:cite:perseus:lexentity.lex4704.1,Λέβαδος,""
urn:cite:perseus:lexentity.lex4705.1,Λέβεδος,""
urn:cite:perseus:lexentity.lex4706.1,Λέβινθος,""
urn:cite:perseus:lexentity.lex4707.1,Λέκτος,""
urn:cite:perseus:lexentity.lex4708.1,Λέλεγες,""
urn:cite:perseus:lexentity.lex4709.1,Λέντλος,""
urn:cite:perseus:lexentity.lex4710.1,Λέντουλος,""
urn:cite:perseus:lexentity.lex4711.1,Λέπιδον,""
urn:cite:perseus:lexentity.lex4712.1,Λέπιδος,""
urn:cite:perseus:lexentity.lex4713.1,Λέπρεον,""
urn:cite:perseus:lexentity.lex4714.1,Λέπρεος,""
urn:cite:perseus:lexentity.lex4715.1,Λέπτις,""
urn:cite:perseus:lexentity.lex4716.1,Λέπτος,""
urn:cite:perseus:lexentity.lex4717.1,Λέπτυνις,""
urn:cite:perseus:lexentity.lex4718.1,Λέριος,""
urn:cite:perseus:lexentity.lex4719.1,Λέρνα,""
urn:cite:perseus:lexentity.lex4720.1,Λέρνη,""
urn:cite:perseus:lexentity.lex4721.1,Λέρος,""
urn:cite:perseus:lexentity.lex4722.1,Λέσβιος,""
urn:cite:perseus:lexentity.lex4723.1,Λέσβος,""
urn:cite:perseus:lexentity.lex4724.1,Λέσχεως,""
urn:cite:perseus:lexentity.lex4725.1,Λέσχη,""
urn:cite:perseus:lexentity.lex4726.1,Λέσχης,""
urn:cite:perseus:lexentity.lex4727.1,Λέτρινοι,""
urn:cite:perseus:lexentity.lex4728.1,Λέχαιον,""
urn:cite:perseus:lexentity.lex4729.1,Λέχης,""
urn:cite:perseus:lexentity.lex4730.1,Λέων,""
urn:cite:perseus:lexentity.lex4731.1,Λήδη,""
urn:cite:perseus:lexentity.lex4732.1,Λήθαιος,""
urn:cite:perseus:lexentity.lex4733.1,Λήθη,""
urn:cite:perseus:lexentity.lex4734.1,Λήκυθος,""
urn:cite:perseus:lexentity.lex4735.1,Λήλαντον,""
urn:cite:perseus:lexentity.lex4736.1,Λήμνιος,""
urn:cite:perseus:lexentity.lex4737.1,Λήναια,""
urn:cite:perseus:lexentity.lex4738.1,Λήναιον,""
urn:cite:perseus:lexentity.lex4739.1,Λήρισαι,""
urn:cite:perseus:lexentity.lex4740.1,Λήρων,""
urn:cite:perseus:lexentity.lex4741.1,Λής,""
urn:cite:perseus:lexentity.lex4742.1,Λίβα,""
urn:cite:perseus:lexentity.lex4743.1,Λίβανος,""
urn:cite:perseus:lexentity.lex4745.1,Λίβυς,""
urn:cite:perseus:lexentity.lex4746.1,Λίβων,""
urn:cite:perseus:lexentity.lex4747.1,Λίγηρ,""
urn:cite:perseus:lexentity.lex4748.1,Λίγυς,""
urn:cite:perseus:lexentity.lex4749.1,Λίδη,""
urn:cite:perseus:lexentity.lex4750.1,Λίθρος,""
urn:cite:perseus:lexentity.lex4751.1,Λίλαια,""
urn:cite:perseus:lexentity.lex4752.1,Λίλαιος,""
urn:cite:perseus:lexentity.lex4753.1,Λίμναι,""
urn:cite:perseus:lexentity.lex4754.1,Λίμνη,""
urn:cite:perseus:lexentity.lex4755.1,Λίμυρα,""
urn:cite:perseus:lexentity.lex4756.1,Λίμυρος,""
urn:cite:perseus:lexentity.lex4757.1,Λίνδιος,""
urn:cite:perseus:lexentity.lex4758.1,Λίνδος,""
urn:cite:perseus:lexentity.lex4759.1,Λίνος,""
urn:cite:perseus:lexentity.lex4760.1,Λίξιται,""
urn:cite:perseus:lexentity.lex4761.1,Λίξος,""
urn:cite:perseus:lexentity.lex4762.1,Λίπαξος,""
urn:cite:perseus:lexentity.lex4763.1,Λίσαι,""
urn:cite:perseus:lexentity.lex4764.1,Λίσος,""
urn:cite:perseus:lexentity.lex4765.1,Λίσσα,""
urn:cite:perseus:lexentity.lex4766.1,Λίσσος,""
urn:cite:perseus:lexentity.lex4767.1,Λίστα,""
urn:cite:perseus:lexentity.lex4768.1,Λίτερνον,""
urn:cite:perseus:lexentity.lex4769.1,Λίφλος,""
urn:cite:perseus:lexentity.lex4770.1,Λίχας,""
urn:cite:perseus:lexentity.lex4771.1,Λίχης,""
urn:cite:perseus:lexentity.lex4772.1,Λαέρκης,""
urn:cite:perseus:lexentity.lex4773.1,Λαέρτης,""
urn:cite:perseus:lexentity.lex4774.1,Λαίαιος,""
urn:cite:perseus:lexentity.lex4775.1,Λαίειος,""
urn:cite:perseus:lexentity.lex4776.1,Λαίλιος,""
urn:cite:perseus:lexentity.lex4777.1,Λαίς,""
urn:cite:perseus:lexentity.lex4778.1,Λαβίνιον,""
urn:cite:perseus:lexentity.lex4779.1,Λαβίνιος,""
urn:cite:perseus:lexentity.lex4780.1,Λαβαῖος,""
urn:cite:perseus:lexentity.lex4781.1,Λαβδακίδαι,""
urn:cite:perseus:lexentity.lex4782.1,Λαβδακεῖος,""
urn:cite:perseus:lexentity.lex4783.1,Λαβεών,""
urn:cite:perseus:lexentity.lex4784.1,Λαβιηνός,""
urn:cite:perseus:lexentity.lex4785.1,Λαβρανδεύς,""
urn:cite:perseus:lexentity.lex4787.1,Λαβύνητος,""
urn:cite:perseus:lexentity.lex4788.1,Λαβώτης,""
urn:cite:perseus:lexentity.lex4789.1,Λαγανία,""
urn:cite:perseus:lexentity.lex4790.1,Λαγαρία,""
urn:cite:perseus:lexentity.lex4791.1,Λαγαριτανός,""
urn:cite:perseus:lexentity.lex4794.1,Λαγόρας,""
urn:cite:perseus:lexentity.lex4795.1,Λαδίκη,""
urn:cite:perseus:lexentity.lex4796.1,Λαδόκεια,""
urn:cite:perseus:lexentity.lex4797.1,Λαερτιάδης,""
urn:cite:perseus:lexentity.lex4798.1,Λαθρίη,""
urn:cite:perseus:lexentity.lex4800.1,Λαισποδίας,""
urn:cite:perseus:lexentity.lex4801.1,Λαιστρυγονίη,""
urn:cite:perseus:lexentity.lex4802.1,Λαιστρυγόνιος,""
urn:cite:perseus:lexentity.lex4803.1,Λαιστρυγών,""
urn:cite:perseus:lexentity.lex4804.1,Λαιτώριος,""
urn:cite:perseus:lexentity.lex4805.1,Λακέρεια,""
urn:cite:perseus:lexentity.lex4806.1,Λακήδης,""
urn:cite:perseus:lexentity.lex4807.1,Λακίαδαι,""
urn:cite:perseus:lexentity.lex4808.1,Λακίνιος,""
urn:cite:perseus:lexentity.lex4809.1,Λακεδαίμων,""
urn:cite:perseus:lexentity.lex4810.1,Λακεδαιμονιάζω,""
urn:cite:perseus:lexentity.lex4811.1,Λακεδαιμόνιος,""
urn:cite:perseus:lexentity.lex4812.1,Λακεστάδης,""
urn:cite:perseus:lexentity.lex4813.1,Λακετανοί,""
