StemUrn,LexicalEntity,Stem,Gender,InflClass,Accent,Tags
smyth.smythpn1_0,lexent.smythpn1,e(rm,masc,hs_ou_comp,inflacc,
smyth.smythpn2_0,lexent.smythpn2,borr,masc,as_ou_comp,inflacc,
