StemUrn,LexicalEntity,StemString,InflClass,Tags
lsjpool.n2066_0,lexent.n2066,:de:a)qu_m,ew_denom,
lsjpool.n2084_0,lexent.n2084,:de:a)qu_r,reg_conj,
lsjpool.n2104_0,lexent.n2104,:de:ai),azw,
lsjpool.n2148_0,lexent.n2148,:de:ai)g,izw,
lsjpool.n2234_0,lexent.n2234,:de:ai)d,reg_conj,
lsjpool.n2234_0,lexent.n2234,:de:ai)d,e_stem,
lsjpool.n2301_0,lexent.n2301,:de:ai)qa^l,ow_denom,
lsjpool.n2307_0,lexent.n2307,:de:ai)qer-emba^t,ew_denom,
lsjpool.n2341_0,lexent.n2341,:de:ai)qri,azw,
lsjpool.n2343_0,lexent.n2343,:de:ai)qr,iaw_denom,
lsjpool.n2346_0,lexent.n2346,:de:ai)qrio-koit,ew_denom,
lsjpool.n2360_0,lexent.n2360,:de:ai)qu,ss,
lsjpool.n2361_0,lexent.n2361,:de:ai)q,reg_conj,
lsjpool.n2365_0,lexent.n2365,:de:ai)k,allw,
lsjpool.n2373_0,lexent.n2373,:de:ai)k,izw,
lsjpool.n2408_0,lexent.n2408,:de:ai(ma,ss,
lsjpool.n2439_0,lexent.n2439,:de:ai(ma^t,ow_denom,
lsjpool.n2469_0,lexent.n2469,:de:ai(mo-rro,ew_denom,
lsjpool.n2491_0,lexent.n2491,:de:ai(m,ow_denom,
lsjpool.n2515_0,lexent.n2515,:de:ai)n,e_stem,
lsjpool.n2515_0,lexent.n2515,:de:ai)n,ew_denom,
lsjpool.n2534_0,lexent.n2534,:de:ai)ni,ss,
lsjpool.n2575_0,lexent.n2575,:de:ai),numi,
lsjpool.n2588_0,lexent.n2588,:de:ai)ol,izw,
lsjpool.n2624_0,lexent.n2624,:de:ai)pol,ew_denom,
lsjpool.n2649_0,lexent.n2649,:de:ai(ret,izw,
lsjpool.n2654_0,lexent.n2654,:de:ai(r,e_stem,
lsjpool.n2660_0,lexent.n2660,:de:),airw,
lsjpool.n2665_0,lexent.n2665,:de:ai)sq,anw,
lsjpool.n2695_0,lexent.n2695,:de:ai)sumn,aw_denom,
lsjpool.n2715_0,lexent.n2715,:de:ai)sxro-log,ew_denom,
lsjpool.n2725_0,lexent.n2725,:de:ai)sxro-pra_g,ew_denom,
lsjpool.n2749_0,lexent.n2749,:de:ai)sx,unw,
lsjpool.n2754_0,lexent.n2754,:de:ai)t,ew_denom,
lsjpool.n2765_0,lexent.n2765,:de:ai)ti,azw,
lsjpool.n2767_0,lexent.n2767,:de:ai)ti,aw_denom,
lsjpool.n2772_0,lexent.n2772,:de:ai)t,izw,
lsjpool.n2792_0,lexent.n2792,:de:ai)xm,azw,
lsjpool.n2794_0,lexent.n2794,:de:ai)xma^lwt,euw,
lsjpool.n2824_0,lexent.n2824,:de:ai)wr,ew_denom,
lsjpool.n3056_0,lexent.n3056,:de:a)^ka^x,izw,
lsjpool.n3074_0,lexent.n3074,:de:a)^k,e_stem,
lsjpool.n3137_0,lexent.n3137,:de:a)khd,e_stem,
lsjpool.n3192_0,lexent.n3192,:de:a)kk,izw,
lsjpool.n3237_0,lexent.n3237,:de:a)km,azw,
lsjpool.n3278_0,lexent.n3278,:de:a)kolast,ainw,
lsjpool.n3289_0,lexent.n3289,:de:a)kolouq,ew_denom,
lsjpool.n3306_0,lexent.n3306,:de:a)kon,aw_denom,
lsjpool.n3325_0,lexent.n3325,:de:a)kont,izw,
lsjpool.n3366_0,lexent.n3366,:de:a)kosm,ew_denom,
lsjpool.n3372_0,lexent.n3372,:de:a)kost,aw_denom,
lsjpool.n3376_0,lexent.n3376,:de:a)^kou,azw,
lsjpool.n3398_0,lexent.n3398,:de:a)kou,reg_conj,
lsjpool.n3398_0,lexent.n3398,:de:a)kou,azw,
lsjpool.n3427_0,lexent.n3427,:de:a)kra_t,izw,
lsjpool.n3442_0,lexent.n3442,:de:a)kra_xol,ew_denom,
lsjpool.n3468_0,lexent.n3468,:de:a)kri_bolog,ew_denom,
lsjpool.n3473_0,lexent.n3473,:de:a)kri_b,ow_denom,
lsjpool.n3481_0,lexent.n3481,:de:a)kr,izw,
lsjpool.n3507_0,lexent.n3507,:de:a)kro,aL_stem,
lsjpool.n3527_0,lexent.n3527,:de:a)krobol,ew_denom,
lsjpool.n3531_0,lexent.n3531,:de:a)krobol,izw,
lsjpool.n3557_0,lexent.n3557,:de:a)kroqi_ni,azw,
lsjpool.n3561_0,lexent.n3561,:de:a)kro-kelain,iaw_denom,
lsjpool.n3577_0,lexent.n3577,:de:a)kro-log,ew_denom,
lsjpool.n3581_0,lexent.n3581,:de:a)kro-lu^t,ew_denom,
lsjpool.n3650_0,lexent.n3650,:de:a)kro-tom,ew_denom,
lsjpool.n3705_0,lexent.n3705,:de:a)krwthri,azw,
lsjpool.n3714_0,lexent.n3714,:de:a)kt,ainw,
lsjpool.n3714_0,lexent.n3714,:de:a)ktain,ow_denom,
lsjpool.n3826_0,lexent.n3826,:de:a)lazon,euw,
lsjpool.n3835_0,lexent.n3835,:de:a)^l,ainw,
lsjpool.n3842_0,lexent.n3842,:de:a)^la^l,azw,
lsjpool.n3864_0,lexent.n3864,:de:a)^l,aw_denom,
lsjpool.n3870_0,lexent.n3870,:de:a)^la^p,azw,
lsjpool.n3895_0,lexent.n3895,:de:a)lg,ew_denom,
lsjpool.n3906_0,lexent.n3906,:de:a)lg,unw,
lsjpool.n3907_0,lexent.n3907,:de:a)ld,ainw,
lsjpool.n3907_0,lexent.n3907,:de:a)ld,reg_conj,
